onset	duration	trial_type	valence	arousal	music_quadrant	participant_quadrant
0.0	11.95	Baseline	0.0	0.0	NA	NA
11.95	12.01	Noise	0.0	0.0	NA	NA
23.95	12.06	Baseline	0.0	0.0	NA	NA
36.02	11.5	music	0.93	0.31	Q4	Q2
48.0	11.51	music	0.54	0.4	Q4	Q4
60.0	11.51	music	0.89	0.91	Q4	Q3
71.96	11.99	Baseline	0.0	0.0	NA	NA
83.95	12.0	Noise	0.0	0.0	NA	NA
95.96	12.04	Baseline	0.0	0.0	NA	NA
108.0	11.5	music	0.14	0.68	Q1	Q2
119.99	11.51	music	0.71	0.45	Q1	Q2
132.02	11.51	music	0.25	0.97	Q1	Q2
143.97	11.99	Baseline	0.0	0.0	NA	NA
155.95	12.01	Noise	0.0	0.0	NA	NA
167.97	12.07	Baseline	0.0	0.0	NA	NA
180.04	11.51	music	0.54	1.0	Q3	Q4
192.0	11.51	music	0.32	0.38	Q3	Q4
204.02	11.51	music	0.3	0.39	Q3	Q2
215.97	11.99	Baseline	0.0	0.0	NA	NA
227.96	12.01	Noise	0.0	0.0	NA	NA
239.97	12.07	Baseline	0.0	0.0	NA	NA
252.04	11.51	music	0.95	0.97	Q2	Q2
263.99	11.51	music	0.93	0.98	Q2	Q2
276.02	11.5	music	0.57	0.6	Q2	Q2
287.98	12.0	Baseline	0.0	0.0	NA	NA
299.98	12.0	Noise	0.0	0.0	NA	NA
311.98	12.08	Baseline	0.0	0.0	NA	NA
324.06	11.51	music	0.53	0.65	Q4	Q4
336.04	11.5	music	0.08	0.86	Q4	Q4
348.04	11.5	music	0.97	0.69	Q4	Q2
360.01	11.96	Baseline	0.0	0.0	NA	NA
371.98	12.0	Noise	0.0	0.0	NA	NA
383.98	12.03	Baseline	0.0	0.0	NA	NA
396.01	11.5	music	1.0	0.42	Q1	Q1
408.03	11.51	music	0.85	0.99	Q1	Q1
420.0	11.51	music	0.7	0.91	Q1	Q1
432.0	11.96	Baseline	0.0	0.0	NA	NA
443.96	12.0	Noise	0.0	0.0	NA	NA
455.97	12.08	Baseline	0.0	0.0	NA	NA
468.05	11.51	music	0.36	0.2	Q3	Q3
480.03	11.51	music	0.34	0.2	Q3	Q3
492.03	11.5	music	0.39	0.22	Q3	Q4
504.01	11.96	Baseline	0.0	0.0	NA	NA
515.97	12.02	Noise	0.0	0.0	NA	NA
527.98	12.07	Baseline	0.0	0.0	NA	NA
540.05	11.51	music	0.38	1.0	Q2	Q1
552.03	11.5	music	0.88	0.98	Q2	Q2
564.03	11.5	music	0.91	0.99	Q2	Q2
