onset	duration	trial_type
0.0	11.95	Baseline
11.95	12.0	Noise
23.96	12.05	Baseline
36.0	35.96	Q2
71.97	11.99	Baseline
83.95	12.0	Noise
95.96	12.05	Baseline
108.01	35.97	Q4
143.97	11.99	Baseline
155.96	12.0	Noise
167.96	12.05	Baseline
180.01	35.99	Q3
216.0	11.97	Baseline
227.96	12.01	Noise
239.97	12.04	Baseline
252.01	36.0	Q1
288.01	12.0	Baseline
300.01	12.01	Noise
312.02	12.06	Baseline
324.08	35.96	Q1
360.04	11.96	Baseline
372.0	12.0	Noise
384.0	12.06	Baseline
396.07	35.98	Q3
432.05	11.96	Baseline
444.0	12.01	Noise
456.01	12.06	Baseline
468.07	35.99	Q4
504.06	11.95	Baseline
516.0	12.0	Noise
528.01	12.06	Baseline
540.07	36.06	Q2
576.14	24.01	Baseline
