onset	duration	trial_type
0.0	11.96	Baseline
11.96	12.01	Noise
23.97	12.04	Baseline
36.01	11.5	Q3
48.0	11.51	Q3
60.0	11.51	Q3
71.97	11.98	Baseline
83.95	12.01	Noise
95.95	12.04	Baseline
108.0	11.52	Q3
119.98	11.51	Q4
131.98	11.5	Q4
143.96	11.99	Baseline
155.95	12.0	Noise
167.95	12.05	Baseline
180.0	11.5	Q2
191.98	11.51	Q2
203.98	11.51	Q2
215.97	11.99	Baseline
227.96	12.01	Noise
239.96	12.04	Baseline
252.0	11.51	Q1
263.97	11.5	Q1
275.97	11.5	Q2
288.0	11.99	Baseline
299.99	12.01	Noise
311.99	12.05	Baseline
324.04	11.51	Q2
336.02	11.5	Q2
348.02	11.51	Q2
360.01	11.98	Baseline
371.99	12.0	Noise
383.99	12.05	Baseline
396.04	11.51	Q4
408.03	11.51	Q3
420.03	11.5	Q3
432.02	11.98	Baseline
443.99	12.0	Noise
455.99	12.03	Baseline
468.03	11.51	Q1
480.01	11.51	Q1
492.03	11.5	Q4
504.02	11.97	Baseline
516.0	12.01	Noise
528.0	12.04	Baseline
540.05	11.51	Q1
552.03	11.51	Q4
564.03	11.5	Q3
576.1	24.01	Baseline
