MusicsSelect,musics,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trialsMusics.thisRepN,trialsMusics.thisTrialN,trialsMusics.thisN,trialsMusics.thisIndex,WelcomeMessage.started,WelcomeMessage.stopped,Baseline1.started,Noise.started,Baseline1.stopped,Baseline2.started,Baseline2.stopped,MusicExcerpt.started,ISI.started,MusicExcerpt.stopped,ISI.stopped,Baseline3.started,GoodbyeText.started,Baseline3.stopped,GoodbyeText.stopped,participant,session,trigger,date,expName,psychopyVersion,frameRate,
MusicListQ2.csv,music\Q2\MT0002415184.wav,0,0,0,0,0,0,0,1,0,0,0,1,14.207351999997627,27.98026729999401,27.98026729999401,39.94311460999743,39.993218999996316,51.926333800001885,63.97100330000103,63.97674823999696,75.42774559999816,75.47852379998949,75.96792060000007,,,,,01,2,True,2022-11-23_15h13.02.909,BrainplaybackQuadrants,2022.2.4,59.986527024698965,
MusicListQ2.csv,music\Q2\MT0000456939.wav,0,0,0,0,0,0,0,1,0,1,1,2,,,,,,,,75.9772038399882,87.42819349998899,87.47795719999704,87.96939929999644,,,,,01,2,True,2022-11-23_15h13.02.909,BrainplaybackQuadrants,2022.2.4,59.986527024698965,
MusicListQ2.csv,music\Q2\MT0011975274.wav,0,0,0,0,0,0,0,1,0,2,2,0,,,,,,,,87.97762263999029,99.42858139998862,99.4880911999935,99.92998259999149,,,,,01,2,True,2022-11-23_15h13.02.909,BrainplaybackQuadrants,2022.2.4,59.986527024698965,
MusicListQ2.csv,,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,01,2,True,2022-11-23_15h13.02.909,BrainplaybackQuadrants,2022.2.4,59.986527024698965,
MusicListQ1.csv,music\Q1\MT0000442827.wav,0,0,0,0,0,1,1,0,0,0,0,2,,,99.92998259999149,111.92866680999722,111.94775139998819,123.93369829999574,,135.99695033999743,147.43069969999488,147.49999749999552,147.99243399999978,,,,,01,2,True,2022-11-23_15h13.02.909,BrainplaybackQuadrants,2022.2.4,59.986527024698965,
MusicListQ1.csv,music\Q1\MT0012846850.wav,0,0,0,0,0,1,1,0,0,1,1,0,,,,,,,,147.9973786499977,159.43116399999417,159.50001819999306,159.96380839998892,,,,,01,2,True,2022-11-23_15h13.02.909,BrainplaybackQuadrants,2022.2.4,59.986527024698965,
MusicListQ1.csv,music\Q1\MT0002119439.wav,0,0,0,0,0,1,1,0,0,2,2,1,,,,,,,,159.96447222998975,171.43156369999633,171.46950130000187,171.95976149999478,,,,,01,2,True,2022-11-23_15h13.02.909,BrainplaybackQuadrants,2022.2.4,59.986527024698965,
MusicListQ1.csv,,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,01,2,True,2022-11-23_15h13.02.909,BrainplaybackQuadrants,2022.2.4,59.986527024698965,
MusicListQ4.csv,music\Q4\MT0000336135.wav,0,0,0,0,0,2,2,3,0,0,0,2,,,171.95976149999478,183.9319506100015,183.96528819999367,195.93584530000226,,208.01618414998666,219.43333220000204,219.53038139999262,219.99586989999807,,,,,01,2,True,2022-11-23_15h13.02.909,BrainplaybackQuadrants,2022.2.4,59.986527024698965,
MusicListQ4.csv,music\Q4\MT0013676763.wav,0,0,0,0,0,2,2,3,0,1,1,0,,,,,,,,219.99992994999775,231.43377959998907,231.5088140000007,231.98048069998913,,,,,01,2,True,2022-11-23_15h13.02.909,BrainplaybackQuadrants,2022.2.4,59.986527024698965,
MusicListQ4.csv,music\Q4\MT0001494812.wav,0,0,0,0,0,2,2,3,0,2,2,1,,,,,,,,231.98335563998845,243.43418769999698,243.4997083999915,243.95524289998866,,,,,01,2,True,2022-11-23_15h13.02.909,BrainplaybackQuadrants,2022.2.4,59.986527024698965,
MusicListQ4.csv,,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,,,,01,2,True,2022-11-23_15h13.02.909,BrainplaybackQuadrants,2022.2.4,59.986527024698965,
MusicListQ3.csv,music\Q3\MT0000300896.wav,0,0,0,0,0,3,3,2,0,0,0,2,,,243.95524289998866,255.93418360999348,255.96796470000118,267.9396998000011,,280.0354699599935,291.43593639999744,291.5498891000025,292.0016923999938,,,,,01,2,True,2022-11-23_15h13.02.909,BrainplaybackQuadrants,2022.2.4,59.986527024698965,
MusicListQ3.csv,music\Q3\MT0011308097.wav,0,0,0,0,0,3,3,2,0,1,1,0,,,,,,,,292.00257104999764,303.43581090000225,303.51028750000114,304.0020538999961,,,,,01,2,True,2022-11-23_15h13.02.909,BrainplaybackQuadrants,2022.2.4,59.986527024698965,
MusicListQ3.csv,music\Q3\MT0001673884.wav,0,0,0,0,0,3,3,2,0,2,2,1,,,,,,,,304.0029722499967,315.4363316999952,315.51036600000225,315.99639020000177,,,,,01,2,True,2022-11-23_15h13.02.909,BrainplaybackQuadrants,2022.2.4,59.986527024698965,
MusicListQ3.csv,,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,,,,01,2,True,2022-11-23_15h13.02.909,BrainplaybackQuadrants,2022.2.4,59.986527024698965,
,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,01,2,True,2022-11-23_15h13.02.909,BrainplaybackQuadrants,2022.2.4,59.986527024698965,
MusicListQ3.csv,music\Q3\MT0028947009.wav,1,0,1,0,0,0,0,2,0,0,0,0,,,315.99639020000177,327.9872704099995,328.00388109999767,339.9987928999908,,352.0564446399862,363.4902180999925,363.5803350999922,364.04235789999075,,,,,01,2,True,2022-11-23_15h13.02.909,BrainplaybackQuadrants,2022.2.4,59.986527024698965,
MusicListQ3.csv,music\Q3\MT0008841966.wav,1,0,1,0,0,0,0,2,0,1,1,1,,,,,,,,364.04021103999406,375.4883167999942,375.56025179999415,376.0564014999982,,,,,01,2,True,2022-11-23_15h13.02.909,BrainplaybackQuadrants,2022.2.4,59.986527024698965,
MusicListQ3.csv,music\Q3\MT0001526386.wav,1,0,1,0,0,0,0,2,0,2,2,2,,,,,,,,376.0556241499944,387.4893713999918,387.56844839999394,388.0078637999977,,,,,01,2,True,2022-11-23_15h13.02.909,BrainplaybackQuadrants,2022.2.4,59.986527024698965,
MusicListQ3.csv,,1,0,1,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,01,2,True,2022-11-23_15h13.02.909,BrainplaybackQuadrants,2022.2.4,59.986527024698965,
MusicListQ1.csv,music\Q1\MT0001898830.wav,1,0,1,0,0,1,1,0,0,0,0,2,,,388.0078637999977,399.9897796099991,400.02317459999176,412.0002935999946,,424.0256659199979,435.49110049998853,435.55776219999825,436.0581930999906,,,,,01,2,True,2022-11-23_15h13.02.909,BrainplaybackQuadrants,2022.2.4,59.986527024698965,
MusicListQ1.csv,music\Q1\MT0029874624.wav,1,0,1,0,0,1,1,0,0,1,1,0,,,,,,,,436.0577557499855,447.4932919999992,447.5595265000011,,,,,,01,2,True,2022-11-23_15h13.02.909,BrainplaybackQuadrants,2022.2.4,59.986527024698965,
MusicListQ1.csv,music\Q1\MT0010900969.wav,1,0,1,0,0,1,1,0,0,2,2,1,,,,,,,,448.05809813998934,459.4919009000005,459.56030319999263,460.01470600000175,,,,,01,2,True,2022-11-23_15h13.02.909,BrainplaybackQuadrants,2022.2.4,59.986527024698965,
MusicListQ1.csv,,1,0,1,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,01,2,True,2022-11-23_15h13.02.909,BrainplaybackQuadrants,2022.2.4,59.986527024698965,
