MusicsSelect,musics,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trialsMusics.thisRepN,trialsMusics.thisTrialN,trialsMusics.thisN,trialsMusics.thisIndex,WelcomeMessage.started,Baseline1.started,Noise.started,Baseline1.stopped,Baseline2.started,MusicExcerpt.started,ISI.started,MusicExcerpt.stopped,ISI.stopped,Baseline2.stopped,Baseline3.started,GoodbyeText.started,Baseline3.stopped,GoodbyeText.stopped,participant,session,trigger,date,expName,psychopyVersion,frameRate,
MusicListQ4.csv,music\Q4\MT0006164654.wav,0,0,0,0,0,0,0,3,0,0,0,0,55.03246029998991,66.32092339999508,78.28145011001325,78.33144650000031,90.29589499998838,102.34890574000893,113.78278720000526,113.85408799999277,114.32381490000989,,,,,,03,1,True,2023-01-11_16h35.55.918,BrainplaybackQuadrants,2022.2.4,59.88353849290654,
MusicListQ4.csv,music\Q4\MT0008342962.wav,0,0,0,0,0,0,0,3,0,1,1,1,,,,,,114.332717840001,125.78321200000937,125.83626740000909,126.32850209999015,,,,,,03,1,True,2023-01-11_16h35.55.918,BrainplaybackQuadrants,2022.2.4,59.88353849290654,
MusicListQ4.csv,music\Q4\MT0013095380.wav,0,0,0,0,0,0,0,3,0,2,2,2,,,,,,126.33314123999445,137.78367239999352,137.84392290000687,138.28823989999364,,,,,,03,1,True,2023-01-11_16h35.55.918,BrainplaybackQuadrants,2022.2.4,59.88353849290654,
MusicListQ4.csv,,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,03,1,True,2023-01-11_16h35.55.918,BrainplaybackQuadrants,2022.2.4,59.88353849290654,
MusicListQ1.csv,music\Q1\MT0012202513.wav,0,0,0,0,0,1,1,0,0,0,0,2,,138.28823989999364,150.2840388099925,150.30080820000148,162.28654239999014,174.3515711399901,185.7687077000155,185.85378629999468,186.31110039999476,,,,,,03,1,True,2023-01-11_16h35.55.918,BrainplaybackQuadrants,2022.2.4,59.88353849290654,
MusicListQ1.csv,music\Q1\MT0005737276.wav,0,0,0,0,0,1,1,0,0,1,1,0,,,,,,186.31885453999857,197.7692578000133,197.82395039999392,198.3094328000152,,,,,,03,1,True,2023-01-11_16h35.55.918,BrainplaybackQuadrants,2022.2.4,59.88353849290654,
MusicListQ1.csv,music\Q1\MT0008401073.wav,0,0,0,0,0,1,1,0,0,2,2,1,,,,,,198.31929054000065,209.76960349999717,209.823610499996,210.2778071000066,,,,,,03,1,True,2023-01-11_16h35.55.918,BrainplaybackQuadrants,2022.2.4,59.88353849290654,
MusicListQ1.csv,,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,03,1,True,2023-01-11_16h35.55.918,BrainplaybackQuadrants,2022.2.4,59.88353849290654,
MusicListQ3.csv,music\Q3\MT0006555035.wav,0,0,0,0,0,2,2,2,0,0,0,1,,210.2778071000066,222.27018951000937,222.28674209999735,234.27450510000926,246.33777713999152,257.77141670000856,257.843675000011,258.31465710001066,,,,,,03,1,True,2023-01-11_16h35.55.918,BrainplaybackQuadrants,2022.2.4,59.88353849290654,
MusicListQ3.csv,music\Q3\MT0010804974.wav,0,0,0,0,0,2,2,2,0,1,1,2,,,,,,258.32155764000487,269.7719819000049,269.83375290001277,270.3165242999967,,,,,,03,1,True,2023-01-11_16h35.55.918,BrainplaybackQuadrants,2022.2.4,59.88353849290654,
MusicListQ3.csv,music\Q3\MT0004922692.wav,0,0,0,0,0,2,2,2,0,2,2,0,,,,,,270.3219065400131,281.77235799998743,281.8348748999997,282.27902459999314,,,,,,03,1,True,2023-01-11_16h35.55.918,BrainplaybackQuadrants,2022.2.4,59.88353849290654,
MusicListQ3.csv,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,03,1,True,2023-01-11_16h35.55.918,BrainplaybackQuadrants,2022.2.4,59.88353849290654,
MusicListQ2.csv,music\Q2\MT0011369407.wav,0,0,0,0,0,3,3,1,0,0,0,2,,282.27902459999314,294.2728252099972,294.28957980000996,306.2836196999997,318.3238321300043,329.7741428000154,329.8243236000126,330.32034370000474,,,,,,03,1,True,2023-01-11_16h35.55.918,BrainplaybackQuadrants,2022.2.4,59.88353849290654,
MusicListQ2.csv,music\Q2\MT0006484633.wav,0,0,0,0,0,3,3,1,0,1,1,0,,,,,,330.32427383999453,341.77459029998863,341.8332304999931,342.3175940999936,,,,,,03,1,True,2023-01-11_16h35.55.918,BrainplaybackQuadrants,2022.2.4,59.88353849290654,
MusicListQ2.csv,music\Q2\MT0007535042.wav,0,0,0,0,0,3,3,1,0,2,2,1,,,,,,342.32466393999636,353.7751298999938,353.83432660001563,354.3071656000102,,,,,,03,1,True,2023-01-11_16h35.55.918,BrainplaybackQuadrants,2022.2.4,59.88353849290654,
MusicListQ2.csv,,0,0,0,0,0,3,3,1,,,,,,,,,,,,,,,,,,,03,1,True,2023-01-11_16h35.55.918,BrainplaybackQuadrants,2022.2.4,59.88353849290654,
,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,03,1,True,2023-01-11_16h35.55.918,BrainplaybackQuadrants,2022.2.4,59.88353849290654,
MusicListQ3.csv,music\Q3\MT0033226848.wav,1,0,1,0,0,0,0,2,0,0,0,2,,354.3071656000102,366.30897671000855,366.30886789999204,378.2928911999916,390.34325624000627,401.79377690001274,401.84524369999417,402.342052699998,390.34323420000146,,,,,03,1,True,2023-01-11_16h35.55.918,BrainplaybackQuadrants,2022.2.4,59.88353849290654,
MusicListQ3.csv,music\Q3\MT0001967374.wav,1,0,1,0,0,0,0,2,0,1,1,0,,,,,,402.3436874400009,413.7942433000135,413.86083429999417,414.33891140000196,,,,,,03,1,True,2023-01-11_16h35.55.918,BrainplaybackQuadrants,2022.2.4,59.88353849290654,
MusicListQ3.csv,music\Q3\MT0001193971.wav,1,0,1,0,0,0,0,2,0,2,2,1,,,,,,414.3442537400056,425.79466980000143,425.84466239999165,426.3100254999881,,,,,,03,1,True,2023-01-11_16h35.55.918,BrainplaybackQuadrants,2022.2.4,59.88353849290654,
MusicListQ3.csv,,1,0,1,0,0,0,0,2,,,,,,,,,,,,,,,,,,,03,1,True,2023-01-11_16h35.55.918,BrainplaybackQuadrants,2022.2.4,59.88353849290654,
MusicListQ4.csv,music\Q4\MT0034106363.wav,1,0,1,0,0,1,1,3,0,0,0,2,,426.3100254999881,438.29520241001444,438.3116652999888,450.2989401000086,462.3626293399953,473.7963663999981,473.8647035000031,474.3402015999891,,,,,,03,1,True,2023-01-11_16h35.55.918,BrainplaybackQuadrants,2022.2.4,59.88353849290654,
MusicListQ4.csv,music\Q4\MT0001768550.wav,1,0,1,0,0,1,1,3,0,1,1,0,,,,,,474.3464783400064,485.79690180000034,485.84677440000814,486.3422567000089,,,,,,03,1,True,2023-01-11_16h35.55.918,BrainplaybackQuadrants,2022.2.4,59.88353849290654,
MusicListQ4.csv,music\Q4\MT0000901959.wav,1,0,1,0,0,1,1,3,0,2,2,1,,,,,,486.34688103998775,497.79733359999955,497.8546132000047,498.3159001999884,,,,,,03,1,True,2023-01-11_16h35.55.918,BrainplaybackQuadrants,2022.2.4,59.88353849290654,
MusicListQ4.csv,,1,0,1,0,0,1,1,3,,,,,,,,,,,,,,,,,,,03,1,True,2023-01-11_16h35.55.918,BrainplaybackQuadrants,2022.2.4,59.88353849290654,
