MusicsSelect,musics,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trialsMusics.thisRepN,trialsMusics.thisTrialN,trialsMusics.thisN,trialsMusics.thisIndex,WelcomeMessage.started,Baseline1.started,Noise.started,Baseline1.stopped,Noise.stopped,Baseline2.started,Baseline2.stopped,MusicExcerpt.started,ISI.started,MusicExcerpt.stopped,ISI.stopped,Baseline3.started,GoodbyeText.started,Baseline3.stopped,GoodbyeText.stopped,participant,session,trigger,date,expName,psychopyVersion,frameRate,
MusicListQ4.csv,music\Q4\MT0015659520.wav,0,0,0,0,0,0,0,3,0,0,0,1,15.245740899990778,31.22205490001943,43.18532374002389,43.234656499989796,55.186078600003384,55.186078600003384,67.20772639999632,67.21887862000732,78.68598449998535,78.72584949998418,79.22857630002545,,,,,04,3,True,2023-01-16_16h48.02.907,BrainplaybackQuadrants,2022.2.4,59.73979732561675,
MusicListQ4.csv,music\Q4\MT0030495725.wav,0,0,0,0,0,0,0,3,0,1,1,2,,,,,,,,79.23654806003906,90.68709369999124,90.74570349999703,91.20703739998862,,,,,04,3,True,2023-01-16_16h48.02.907,BrainplaybackQuadrants,2022.2.4,59.73979732561675,
MusicListQ4.csv,music\Q4\MT0006983241.wav,0,0,0,0,0,0,0,3,0,2,2,0,,,,,,,,91.22029412001721,102.67019530001562,102.7259708000347,103.1714318000013,,,,,04,3,True,2023-01-16_16h48.02.907,BrainplaybackQuadrants,2022.2.4,59.73979732561675,
MusicListQ4.csv,,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,04,3,True,2023-01-16_16h48.02.907,BrainplaybackQuadrants,2022.2.4,59.73979732561675,
MusicListQ1.csv,music\Q1\MT0029492542.wav,0,0,0,0,0,1,1,0,0,0,0,2,,103.1714318000013,115.17150553998654,115.171545899997,,127.17842190002557,,139.22238062001415,150.6728649000288,150.7254259000183,151.18994200002635,,,,,04,3,True,2023-01-16_16h48.02.907,BrainplaybackQuadrants,2022.2.4,59.73979732561675,
MusicListQ1.csv,music\Q1\MT0013914319.wav,0,0,0,0,0,1,1,0,0,1,1,1,,,,,,,,151.18952068003125,162.67312089999905,,163.2287837000331,,,,,04,3,True,2023-01-16_16h48.02.907,BrainplaybackQuadrants,2022.2.4,59.73979732561675,
MusicListQ1.csv,music\Q1\MT0006367176.wav,0,0,0,0,0,1,1,0,0,2,2,0,,,,,,,,163.23977080002078,174.67356570000993,174.74700850003865,175.2014086000272,,,,,04,3,True,2023-01-16_16h48.02.907,BrainplaybackQuadrants,2022.2.4,59.73979732561675,
MusicListQ1.csv,,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,04,3,True,2023-01-16_16h48.02.907,BrainplaybackQuadrants,2022.2.4,59.73979732561675,
MusicListQ2.csv,music\Q2\MT0012914763.wav,0,0,0,0,0,2,2,1,0,0,0,1,,175.2014086000272,187.17401313998852,187.20735460001742,,199.177313400025,,211.2415821600123,222.6752780000097,222.7464940000209,223.23928530002013,,,,,04,3,True,2023-01-16_16h48.02.907,BrainplaybackQuadrants,2022.2.4,59.73979732561675,
MusicListQ2.csv,music\Q2\MT0006564487.wav,0,0,0,0,0,2,2,1,0,1,1,0,,,,,,,,223.2420424000302,234.67575039999792,234.74661680002464,235.23457020003116,,,,,04,3,True,2023-01-16_16h48.02.907,BrainplaybackQuadrants,2022.2.4,59.73979732561675,
