MusicsSelect,musics,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trialsMusics.thisRepN,trialsMusics.thisTrialN,trialsMusics.thisN,trialsMusics.thisIndex,WelcomeMessage.started,WelcomeMessage.stopped,Baseline1.started,Noise.started,Baseline1.stopped,Baseline2.started,MusicExcerpt.started,ISI.started,MusicExcerpt.stopped,ISI.stopped,Baseline2.stopped,Noise.stopped,Baseline3.started,GoodbyeText.started,Baseline3.stopped,GoodbyeText.stopped,participant,session,trigger,date,expName,psychopyVersion,frameRate,
MusicListQ2.csv,music\Q2\MT0011348776.wav,0,0,0,0,0,0,0,1,0,0,0,0,11.313298300000497,26.643148900000597,26.643148900000597,38.59005503000007,38.65623670000059,50.59453250000024,62.64299438999969,74.09348520000003,74.15489119999984,74.61609560000034,,,,,,,06,3,True,2023-01-19_18h17.41.998,BrainplaybackQuadrants,2022.2.4,59.967461655372944,
MusicListQ2.csv,music\Q2\MT0011145388.wav,0,0,0,0,0,0,0,1,0,1,1,1,,,,,,,74.62683418999985,86.0944040000004,86.13457280000057,86.6159348000001,,,,,,,06,3,True,2023-01-19_18h17.41.998,BrainplaybackQuadrants,2022.2.4,59.967461655372944,
MusicListQ2.csv,music\Q2\MT0010490157.wav,0,0,0,0,0,0,0,1,0,2,2,2,,,,,,,86.62771958999964,98.0947956,98.13408549999986,98.61087450000014,,,,,,,06,3,True,2023-01-19_18h17.41.998,BrainplaybackQuadrants,2022.2.4,59.967461655372944,
MusicListQ2.csv,,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,06,3,True,2023-01-19_18h17.41.998,BrainplaybackQuadrants,2022.2.4,59.967461655372944,
MusicListQ3.csv,music\Q3\MT0010739708.wav,0,0,0,0,0,1,1,2,0,0,0,0,,,98.61087450000014,110.59209383000034,110.62543030000052,122.59451489999992,134.64292599,146.0933640000003,146.14351110000007,146.61505230000057,,,,,,,06,3,True,2023-01-19_18h17.41.998,BrainplaybackQuadrants,2022.2.4,59.967461655372944,
MusicListQ3.csv,music\Q3\MT0009437817.wav,0,0,0,0,0,1,1,2,0,1,1,2,,,,,,,146.62721969000032,158.0937759999997,158.13336909999998,158.6108806000002,,,,,,,06,3,True,2023-01-19_18h17.41.998,BrainplaybackQuadrants,2022.2.4,59.967461655372944,
MusicListQ3.csv,music\Q3\MT0010375510.wav,0,0,0,0,0,1,1,2,0,2,2,1,,,,,,,158.61047795999968,170.0948642000003,170.11374330000035,170.61279680000007,,,,,,,06,3,True,2023-01-19_18h17.41.998,BrainplaybackQuadrants,2022.2.4,59.967461655372944,
MusicListQ3.csv,,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,,,,,06,3,True,2023-01-19_18h17.41.998,BrainplaybackQuadrants,2022.2.4,59.967461655372944,
MusicListQ1.csv,music\Q1\MT0011957429.wav,0,0,0,0,0,2,2,0,0,0,0,1,,,170.61279680000007,182.59465743000038,182.62865609999972,194.60293890000048,206.64550198999987,218.0965441999997,218.14710999999988,218.61015190000035,,,,,,,06,3,True,2023-01-19_18h17.41.998,BrainplaybackQuadrants,2022.2.4,59.967461655372944,
MusicListQ1.csv,music\Q1\MT0011786799.wav,0,0,0,0,0,2,2,0,0,1,1,2,,,,,,,218.61260516000004,230.09690610000052,230.12449949999973,230.60989640000025,,,,,,,06,3,True,2023-01-19_18h17.41.998,BrainplaybackQuadrants,2022.2.4,59.967461655372944,
MusicListQ1.csv,music\Q1\MT0012041920.wav,0,0,0,0,0,2,2,0,0,2,2,0,,,,,,,230.61303016000022,242.09731180000017,242.1138105,242.61644669999987,,,,,,,06,3,True,2023-01-19_18h17.41.998,BrainplaybackQuadrants,2022.2.4,59.967461655372944,
MusicListQ1.csv,,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,,06,3,True,2023-01-19_18h17.41.998,BrainplaybackQuadrants,2022.2.4,59.967461655372944,
