MusicsSelect,musics,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trialsMusics.thisRepN,trialsMusics.thisTrialN,trialsMusics.thisN,trialsMusics.thisIndex,WelcomeMessage.started,WelcomeMessage.stopped,Baseline1.started,Noise.started,Baseline1.stopped,Baseline2.started,Baseline2.stopped,MusicExcerpt.started,ISI.started,MusicExcerpt.stopped,ISI.stopped,Noise.stopped,Baseline3.started,GoodbyeText.started,Baseline3.stopped,GoodbyeText.stopped,participant,session,trigger,date,expName,psychopyVersion,frameRate,
MusicListQ1.csv,music\Q1\MT0002297016.wav,0,0,0,0,0,0,0,0,0,0,0,1,14.133148299999448,26.72995699999956,26.72995699999956,38.69080178999993,38.740887799999655,50.693037499999264,62.73368459999983,62.742412459999834,74.19300489999932,74.24471949999952,74.72610019999956,,,,,,06,4,True,2023-01-19_18h28.36.630,BrainplaybackQuadrants,2022.2.4,59.79630984984773,
MusicListQ1.csv,music\Q1\MT0002053300.wav,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,,,74.72621476999957,86.17677899999944,86.2341351999994,86.71217489999981,,,,,,06,4,True,2023-01-19_18h28.36.630,BrainplaybackQuadrants,2022.2.4,59.79630984984773,
MusicListQ1.csv,music\Q1\MT0001671399.wav,0,0,0,0,0,0,0,0,0,2,2,2,,,,,,,,86.70995547000003,98.17715339999995,98.21246769999925,98.70868129999963,,,,,,06,4,True,2023-01-19_18h28.36.630,BrainplaybackQuadrants,2022.2.4,59.79630984984773,
MusicListQ1.csv,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,06,4,True,2023-01-19_18h28.36.630,BrainplaybackQuadrants,2022.2.4,59.79630984984773,
MusicListQ4.csv,music\Q4\MT0000901959.wav,0,0,0,0,0,1,1,3,0,0,0,2,,,98.70868129999963,110.67756148999925,110.71099959999992,122.68463149999934,,134.74489976000004,146.17885599999954,146.25453969999944,146.71855139999934,,,,,,06,4,True,2023-01-19_18h28.36.630,BrainplaybackQuadrants,2022.2.4,59.79630984984773,
MusicListQ4.csv,music\Q4\MT0001641228.wav,0,0,0,0,0,1,1,3,0,1,1,1,,,,,,,,146.72868135999997,158.17931129999943,158.23455899999954,158.71422809999967,,,,,,06,4,True,2023-01-19_18h28.36.630,BrainplaybackQuadrants,2022.2.4,59.79630984984773,
MusicListQ4.csv,music\Q4\MT0001438043.wav,0,0,0,0,0,1,1,3,0,2,2,0,,,,,,,,158.71248656999998,170.1797372000001,170.21473309999965,170.7049021999992,,,,,,06,4,True,2023-01-19_18h28.36.630,BrainplaybackQuadrants,2022.2.4,59.79630984984773,
MusicListQ4.csv,,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,,,,,06,4,True,2023-01-19_18h28.36.630,BrainplaybackQuadrants,2022.2.4,59.79630984984773,
MusicListQ2.csv,music\Q2\MT0001938929.wav,0,0,0,0,0,2,2,1,0,0,0,2,,,170.7049021999992,182.68016329000002,182.7151357999992,194.68478259999938,,206.74749656000003,218.1814214999995,218.25329169999986,218.71999030000006,194.68478259999938,,,,,06,4,True,2023-01-19_18h28.36.630,BrainplaybackQuadrants,2022.2.4,59.79630984984773,
MusicListQ2.csv,music\Q2\MT0003019852.wav,0,0,0,0,0,2,2,1,0,1,1,1,,,,,,,,218.73121575999957,230.18120009999984,230.24437679999937,230.70370729999922,,,,,,06,4,True,2023-01-19_18h28.36.630,BrainplaybackQuadrants,2022.2.4,59.79630984984773,
MusicListQ2.csv,music\Q2\MT0002399275.wav,0,0,0,0,0,2,2,1,0,2,2,0,,,,,,,,230.71432626999942,242.18224539999937,242.2240899999997,242.72788169999967,,,,,,06,4,True,2023-01-19_18h28.36.630,BrainplaybackQuadrants,2022.2.4,59.79630984984773,
MusicListQ2.csv,,0,0,0,0,0,2,2,1,,,,,,,,,,,,,,,,,,,,,06,4,True,2023-01-19_18h28.36.630,BrainplaybackQuadrants,2022.2.4,59.79630984984773,
MusicListQ3.csv,music\Q3\MT0001193971.wav,0,0,0,0,0,3,3,2,0,0,0,2,,,242.72788169999967,254.68267008999956,254.73264689999996,266.6947051999996,,278.7499733599994,290.18393769999966,290.2546392999993,290.72386299999926,,,,,,06,4,True,2023-01-19_18h28.36.630,BrainplaybackQuadrants,2022.2.4,59.79630984984773,
MusicListQ3.csv,music\Q3\MT0001920501.wav,0,0,0,0,0,3,3,2,0,1,1,1,,,,,,,,290.73358135999985,302.18434589999924,302.2434008,302.71874279999975,,,,,,06,4,True,2023-01-19_18h28.36.630,BrainplaybackQuadrants,2022.2.4,59.79630984984773,
MusicListQ3.csv,music\Q3\MT0001542676.wav,0,0,0,0,0,3,3,2,0,2,2,0,,,,,,,,302.73420755999956,314.1847981000001,314.24364089999926,314.7681694999992,,,,,,06,4,True,2023-01-19_18h28.36.630,BrainplaybackQuadrants,2022.2.4,59.79630984984773,
MusicListQ3.csv,,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,,,,,06,4,True,2023-01-19_18h28.36.630,BrainplaybackQuadrants,2022.2.4,59.79630984984773,
,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,06,4,True,2023-01-19_18h28.36.630,BrainplaybackQuadrants,2022.2.4,59.79630984984773,
MusicListQ2.csv,music\Q2\MT0003326925.wav,1,0,1,0,0,0,0,1,0,0,0,0,,,314.7681694999992,326.7683586899997,326.76838959999986,338.77267779999966,,350.8356822599995,362.2696329999999,362.34307910000007,362.8037971999993,,,,,,06,4,True,2023-01-19_18h28.36.630,BrainplaybackQuadrants,2022.2.4,59.79630984984773,
MusicListQ2.csv,music\Q2\MT0008346862.wav,1,0,1,0,0,0,0,1,0,1,1,2,,,,,,,,362.8028295699998,374.2700589999995,374.31351149999955,374.8842442999994,,,,,,06,4,True,2023-01-19_18h28.36.630,BrainplaybackQuadrants,2022.2.4,59.79630984984773,
MusicListQ2.csv,music\Q2\MT0007697753.wav,1,0,1,0,0,0,0,1,0,2,2,1,,,,,,,,374.88634871999983,386.25399969999944,386.39288619999934,386.80989689999933,,,,,,06,4,True,2023-01-19_18h28.36.630,BrainplaybackQuadrants,2022.2.4,59.79630984984773,
MusicListQ2.csv,,1,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,06,4,True,2023-01-19_18h28.36.630,BrainplaybackQuadrants,2022.2.4,59.79630984984773,
MusicListQ1.csv,music\Q1\MT0008675527.wav,1,0,1,0,0,1,1,0,0,0,0,1,,,386.80989689999933,398.7542103899999,398.82030359999953,410.7632614999993,,422.82158425999984,434.2555292999996,434.3234488999997,434.7918184,,,,,,06,4,True,2023-01-19_18h28.36.630,BrainplaybackQuadrants,2022.2.4,59.79630984984773,
MusicListQ1.csv,music\Q1\MT0009213083.wav,1,0,1,0,0,1,1,0,0,1,1,2,,,,,,,,434.80552726,446.25596210000003,446.31348889999936,446.794946,,,,,,06,4,True,2023-01-19_18h28.36.630,BrainplaybackQuadrants,2022.2.4,59.79630984984773,
MusicListQ1.csv,music\Q1\MT0002538335.wav,1,0,1,0,0,1,1,0,0,2,2,0,,,,,,,,446.8057694599998,458.2564010999995,458.3135324999994,458.81529709999995,,,,,,06,4,True,2023-01-19_18h28.36.630,BrainplaybackQuadrants,2022.2.4,59.79630984984773,
MusicListQ1.csv,,1,0,1,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,06,4,True,2023-01-19_18h28.36.630,BrainplaybackQuadrants,2022.2.4,59.79630984984773,
MusicListQ4.csv,music\Q4\MT0010485603.wav,1,0,1,0,0,2,2,3,0,0,0,2,,,458.81529709999995,470.75683848999995,470.8235485999994,482.7631445999996,,494.8241978599995,506.25814979999996,506.3330428999998,506.79730669999935,,,,,,06,4,True,2023-01-19_18h28.36.630,BrainplaybackQuadrants,2022.2.4,59.79630984984773,
MusicListQ4.csv,music\Q4\MT0009075362.wav,1,0,1,0,0,2,2,3,0,1,1,1,,,,,,,,506.8079593599992,518.2585738999996,518.3109891999993,518.7966284999993,,,,,,06,4,True,2023-01-19_18h28.36.630,BrainplaybackQuadrants,2022.2.4,59.79630984984773,
MusicListQ4.csv,music\Q4\MT0001942272.wav,1,0,1,0,0,2,2,3,0,2,2,0,,,,,,,,518.8083616599994,530.2591112,530.3135485999992,530.8161568999994,,,,,,06,4,True,2023-01-19_18h28.36.630,BrainplaybackQuadrants,2022.2.4,59.79630984984773,
MusicListQ4.csv,,1,0,1,0,0,2,2,3,,,,,,,,,,,,,,,,,,,,,06,4,True,2023-01-19_18h28.36.630,BrainplaybackQuadrants,2022.2.4,59.79630984984773,
MusicListQ3.csv,music\Q3\MT0002006203.wav,1,0,1,0,0,3,3,2,0,0,0,0,,,530.8161568999994,542.7593920899993,542.8261416999994,554.7635872000001,,566.8267747599999,578.2607275,578.3330610999992,578.7969465999995,554.7635872000001,,,,,06,4,True,2023-01-19_18h28.36.630,BrainplaybackQuadrants,2022.2.4,59.79630984984773,
MusicListQ3.csv,music\Q3\MT0007438571.wav,1,0,1,0,0,3,3,2,0,1,1,2,,,,,,,,578.81055566,590.2611430999996,590.3235689999992,590.8298857,,,,,,06,4,True,2023-01-19_18h28.36.630,BrainplaybackQuadrants,2022.2.4,59.79630984984773,
MusicListQ3.csv,music\Q3\MT0007043936.wav,1,0,1,0,0,3,3,2,0,2,2,1,,,,,,,,590.8442233399995,602.2615974,602.3533717,602.9099964999996,,,,,,06,4,True,2023-01-19_18h28.36.630,BrainplaybackQuadrants,2022.2.4,59.79630984984773,
MusicListQ3.csv,,1,0,1,0,0,3,3,2,,,,,,,,,,,,,,,,,,,,,06,4,True,2023-01-19_18h28.36.630,BrainplaybackQuadrants,2022.2.4,59.79630984984773,
,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,06,4,True,2023-01-19_18h28.36.630,BrainplaybackQuadrants,2022.2.4,59.79630984984773,
,,,,,,,,,,,,,,,,,,,,,,,,,,602.9099964999996,626.8624888999993,626.9124938999994,627.8625272999998,,,,,,,,
