MusicsSelect,musics,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trialsMusics.thisRepN,trialsMusics.thisTrialN,trialsMusics.thisN,trialsMusics.thisIndex,WelcomeMessage.started,WelcomeMessage.stopped,Baseline1.started,Noise.started,Baseline1.stopped,Baseline2.started,MusicExcerpt.started,ISI.started,MusicExcerpt.stopped,ISI.stopped,Noise.stopped,Baseline2.stopped,Baseline3.started,GoodbyeText.started,Baseline3.stopped,participant,session,trigger,date,expName,psychopyVersion,frameRate,
MusicListQ3.csv,music\Q3\MT0005217073.wav,0,0,0,0,0,0,0,2,0,0,0,0,30.540463800018188,46.34378240001388,46.34378240001388,58.29425117002684,58.343544900009874,70.30157429998508,82.34791970997468,93.79811109998263,93.85270360001596,94.32373230002122,,,,,,07,4,True,2023-02-06_15h55.21.729,BrainplaybackQuadrants,2022.2.4,59.78926673975071,
MusicListQ3.csv,music\Q3\MT0028698324.wav,0,0,0,0,0,0,0,2,0,1,1,1,,,,,,,94.33137820998091,105.79836969997268,105.8431570000248,106.32357910001883,,,,,,07,4,True,2023-02-06_15h55.21.729,BrainplaybackQuadrants,2022.2.4,59.78926673975071,
MusicListQ3.csv,music\Q3\MT0003037754.wav,0,0,0,0,0,0,0,2,0,2,2,2,,,,,,,106.33209281000892,117.79889739997452,117.84175429999596,118.31490789999953,,,,,,07,4,True,2023-02-06_15h55.21.729,BrainplaybackQuadrants,2022.2.4,59.78926673975071,
MusicListQ3.csv,,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,07,4,True,2023-02-06_15h55.21.729,BrainplaybackQuadrants,2022.2.4,59.78926673975071,
MusicListQ2.csv,music\Q2\MT0029099688.wav,0,0,0,0,0,1,1,1,0,0,0,1,,,118.31490789999953,130.29936146999825,130.31632029998582,142.30158859997755,154.35022840997553,165.80062410002574,165.85234159999527,166.3307838999899,,,,,,07,4,True,2023-02-06_15h55.21.729,BrainplaybackQuadrants,2022.2.4,59.78926673975071,
MusicListQ2.csv,music\Q2\MT0004316859.wav,0,0,0,0,0,1,1,1,0,1,1,2,,,,,,,166.33424191001686,177.80131720000645,177.84254400001373,178.32362849998754,,,,,,07,4,True,2023-02-06_15h55.21.729,BrainplaybackQuadrants,2022.2.4,59.78926673975071,
MusicListQ2.csv,music\Q2\MT0006746691.wav,0,0,0,0,0,1,1,1,0,2,2,0,,,,,,,178.33438220997922,189.80175909999525,189.84145180002088,190.32084170001326,,,,,,07,4,True,2023-02-06_15h55.21.729,BrainplaybackQuadrants,2022.2.4,59.78926673975071,
MusicListQ2.csv,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,07,4,True,2023-02-06_15h55.21.729,BrainplaybackQuadrants,2022.2.4,59.78926673975071,
MusicListQ1.csv,music\Q1\MT0006747288.wav,0,0,0,0,0,2,2,0,0,0,0,0,,,190.32084170001326,202.30219057000357,202.33516299998155,214.3046840999741,226.35270510997506,237.8035531999776,237.86274810001487,238.3205784999882,,,,,,07,4,True,2023-02-06_15h55.21.729,BrainplaybackQuadrants,2022.2.4,59.78926673975071,
MusicListQ1.csv,music\Q1\MT0029492542.wav,0,0,0,0,0,2,2,0,0,1,1,1,,,,,,,238.31986593999898,249.8036205000244,249.8323311000131,250.3196009999956,,,,,,07,4,True,2023-02-06_15h55.21.729,BrainplaybackQuadrants,2022.2.4,59.78926673975071,
MusicListQ1.csv,music\Q1\MT0003603772.wav,0,0,0,0,0,2,2,0,0,2,2,2,,,,,,,250.3202723400085,261.8040569999721,261.832394499972,262.32471329998225,,,,,,07,4,True,2023-02-06_15h55.21.729,BrainplaybackQuadrants,2022.2.4,59.78926673975071,
MusicListQ1.csv,,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,07,4,True,2023-02-06_15h55.21.729,BrainplaybackQuadrants,2022.2.4,59.78926673975071,
MusicListQ4.csv,music\Q4\MT0030495725.wav,0,0,0,0,0,3,3,3,0,0,0,1,,,262.32471329998225,274.30450127001967,274.3381303999922,286.3114556000219,298.355314709997,309.8057822000119,309.8614339000196,310.33330350002507,,,,,,07,4,True,2023-02-06_15h55.21.729,BrainplaybackQuadrants,2022.2.4,59.78926673975071,
MusicListQ4.csv,music\Q4\MT0003710207.wav,0,0,0,0,0,3,3,3,0,1,1,2,,,,,,,310.3391081099922,321.8061715000076,321.8513646000065,322.32382200000575,,,,,,07,4,True,2023-02-06_15h55.21.729,BrainplaybackQuadrants,2022.2.4,59.78926673975071,
MusicListQ4.csv,music\Q4\MT0007064420.wav,0,0,0,0,0,3,3,3,0,2,2,0,,,,,,,322.32285173997514,333.80660509999143,333.83246860001236,334.36601150000934,,,,,,07,4,True,2023-02-06_15h55.21.729,BrainplaybackQuadrants,2022.2.4,59.78926673975071,
MusicListQ4.csv,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,07,4,True,2023-02-06_15h55.21.729,BrainplaybackQuadrants,2022.2.4,59.78926673975071,
,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,07,4,True,2023-02-06_15h55.21.729,BrainplaybackQuadrants,2022.2.4,59.78926673975071,
MusicListQ3.csv,music\Q3\MT0002087541.wav,1,0,1,0,0,0,0,2,0,0,0,2,,,334.36601150000934,346.35478736997464,346.3714257000247,358.36198340001283,370.4223057800089,381.85607919999165,381.93206660001306,382.39550570002757,,,,,,07,4,True,2023-02-06_15h55.21.729,BrainplaybackQuadrants,2022.2.4,59.78926673975071,
MusicListQ3.csv,music\Q3\MT0005520274.wav,1,0,1,0,0,0,0,2,0,1,1,1,,,,,,,382.40606258001645,393.8564579000231,393.9119517999934,394.3853640999878,,,,,,07,4,True,2023-02-06_15h55.21.729,BrainplaybackQuadrants,2022.2.4,59.78926673975071,
MusicListQ3.csv,music\Q3\MT0015665796.wav,1,0,1,0,0,0,0,2,0,2,2,0,,,,,,,394.3898482100281,405.8568941000267,405.9025834000204,406.40866090002237,,,,,,07,4,True,2023-02-06_15h55.21.729,BrainplaybackQuadrants,2022.2.4,59.78926673975071,
MusicListQ3.csv,,1,0,1,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,07,4,True,2023-02-06_15h55.21.729,BrainplaybackQuadrants,2022.2.4,59.78926673975071,
MusicListQ2.csv,music\Q2\MT0003546058.wav,1,0,1,0,0,1,1,1,0,0,0,2,,,406.40866090002237,418.3573556699732,418.42399879998993,430.36275099997874,442.42475478003036,453.85860829998273,453.9312897999771,454.40751190000447,,,,,,07,4,True,2023-02-06_15h55.21.729,BrainplaybackQuadrants,2022.2.4,59.78926673975071,
MusicListQ2.csv,music\Q2\MT0006862088.wav,1,0,1,0,0,1,1,1,0,1,1,1,,,,,,,454.40843948001276,465.8590635000146,465.91137940000044,466.40280360000907,,,,,,07,4,True,2023-02-06_15h55.21.729,BrainplaybackQuadrants,2022.2.4,59.78926673975071,
MusicListQ2.csv,music\Q2\MT0028213435.wav,1,0,1,0,0,1,1,1,0,2,2,0,,,,,,,466.4090478799888,477.8595615000231,477.9120117999846,478.41653990000486,,,,,,07,4,True,2023-02-06_15h55.21.729,BrainplaybackQuadrants,2022.2.4,59.78926673975071,
MusicListQ2.csv,,1,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,07,4,True,2023-02-06_15h55.21.729,BrainplaybackQuadrants,2022.2.4,59.78926673975071,
MusicListQ1.csv,music\Q1\MT0007147603.wav,1,0,1,0,0,2,2,0,0,0,0,1,,,478.41653990000486,490.35989337002974,490.42659460002324,502.3632936999784,514.4274723800016,525.8611763999797,525.9320851999801,526.3969799000188,,,,,,07,4,True,2023-02-06_15h55.21.729,BrainplaybackQuadrants,2022.2.4,59.78926673975071,
MusicListQ1.csv,music\Q1\MT0002894033.wav,1,0,1,0,0,2,2,0,0,1,1,2,,,,,,,526.3945611100004,537.8616489000269,537.8949703000253,538.4027155999793,,,,,,07,4,True,2023-02-06_15h55.21.729,BrainplaybackQuadrants,2022.2.4,59.78926673975071,
MusicListQ1.csv,music\Q1\MT0028445777.wav,1,0,1,0,0,2,2,0,0,2,2,0,,,,,,,538.4116324799951,549.8621093999827,549.9287284999737,550.4202220999869,,,,,,07,4,True,2023-02-06_15h55.21.729,BrainplaybackQuadrants,2022.2.4,59.78926673975071,
MusicListQ1.csv,,1,0,1,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,07,4,True,2023-02-06_15h55.21.729,BrainplaybackQuadrants,2022.2.4,59.78926673975071,
MusicListQ4.csv,music\Q4\MT0007207968.wav,1,0,1,0,0,3,3,3,0,0,0,1,,,550.4202220999869,562.362485369976,562.4291633000248,574.3622953000013,586.4133928800119,597.8637546999962,597.9219163000234,598.4037117999978,574.3622953000013,586.4088787999935,,,,07,4,True,2023-02-06_15h55.21.729,BrainplaybackQuadrants,2022.2.4,59.78926673975071,
MusicListQ4.csv,music\Q4\MT0002448379.wav,1,0,1,0,0,3,3,3,0,1,1,2,,,,,,,598.4138366800152,609.8641893999884,609.9221945999889,610.4065246999962,,,,,,07,4,True,2023-02-06_15h55.21.729,BrainplaybackQuadrants,2022.2.4,59.78926673975071,
MusicListQ4.csv,music\Q4\MT0030286920.wav,1,0,1,0,0,3,3,3,0,2,2,0,,,,,,,610.4142032800127,621.8646205000114,621.9222843999742,622.5087508999859,,,,,,07,4,True,2023-02-06_15h55.21.729,BrainplaybackQuadrants,2022.2.4,59.78926673975071,
MusicListQ4.csv,,1,0,1,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,07,4,True,2023-02-06_15h55.21.729,BrainplaybackQuadrants,2022.2.4,59.78926673975071,
,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,07,4,True,2023-02-06_15h55.21.729,BrainplaybackQuadrants,2022.2.4,59.78926673975071,
,,,,,,,,,,,,,,,,,,,,,,,,,,622.5087508999859,646.4678249999997,646.5148901999928,,,,,,,,
