MusicsSelect,musics,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trialsMusics.thisRepN,trialsMusics.thisTrialN,trialsMusics.thisN,trialsMusics.thisIndex,WelcomeMessage.started,Baseline1.started,Noise.started,Baseline1.stopped,Baseline2.started,MusicExcerpt.started,ISI.started,MusicExcerpt.stopped,ISI.stopped,Noise.stopped,Baseline2.stopped,Baseline3.started,GoodbyeText.started,Baseline3.stopped,participant,session,trigger,date,expName,psychopyVersion,frameRate,
MusicListQ3.csv,music\Q3\MT0011899302.wav,0,0,0,0,0,0,0,2,0,0,0,1,11.400249300000723,33.31813760002842,45.26339184999233,45.33012860000599,57.274348100007046,69.31437075004214,80.76480290002655,80.82356620003702,81.28971380001167,,,,,,08,3,True,2023-02-13_18h35.05.501,BrainplaybackQuadrants,2022.2.4,59.96577153526985,
MusicListQ3.csv,music\Q3\MT0005155949.wav,0,0,0,0,0,0,0,2,0,1,1,0,,,,,,81.29794454999501,92.76469610002823,92.80315580003662,93.29024060000665,,,,,,08,3,True,2023-02-13_18h35.05.501,BrainplaybackQuadrants,2022.2.4,59.96577153526985,
MusicListQ3.csv,music\Q3\MT0028698324.wav,0,0,0,0,0,0,0,2,0,2,2,2,,,,,,93.29788065003231,104.7679846000392,104.80529310001293,105.2762645999901,,,,,,08,3,True,2023-02-13_18h35.05.501,BrainplaybackQuadrants,2022.2.4,59.96577153526985,
MusicListQ3.csv,,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,08,3,True,2023-02-13_18h35.05.501,BrainplaybackQuadrants,2022.2.4,59.96577153526985,
MusicListQ2.csv,music\Q2\MT0006564487.wav,0,0,0,0,0,1,1,1,0,0,0,0,,105.2762645999901,117.26613534998614,117.28288300003624,129.27322890004143,141.31635224999627,152.76944659999572,152.82395879999967,153.29276059998665,,,,,,08,3,True,2023-02-13_18h35.05.501,BrainplaybackQuadrants,2022.2.4,59.96577153526985,
MusicListQ2.csv,music\Q2\MT0029099688.wav,0,0,0,0,0,1,1,1,0,1,1,2,,,,,,153.3029302500072,164.76741219998803,164.82562900002813,165.29204000002937,,,,,,08,3,True,2023-02-13_18h35.05.501,BrainplaybackQuadrants,2022.2.4,59.96577153526985,
MusicListQ2.csv,music\Q2\MT0012914763.wav,0,0,0,0,0,1,1,1,0,2,2,1,,,,,,165.3011631499976,176.76846910000313,176.8036013999954,177.27789359999588,,,,,,08,3,True,2023-02-13_18h35.05.501,BrainplaybackQuadrants,2022.2.4,59.96577153526985,
MusicListQ2.csv,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,08,3,True,2023-02-13_18h35.05.501,BrainplaybackQuadrants,2022.2.4,59.96577153526985,
MusicListQ1.csv,music\Q1\MT0029492542.wav,0,0,0,0,0,2,2,0,0,0,0,2,,177.27789359999588,189.26884725003038,189.28500640002312,201.27442289999453,213.31970714998897,224.77021200000308,224.8222033000202,225.2860051000025,,,,,,08,3,True,2023-02-13_18h35.05.501,BrainplaybackQuadrants,2022.2.4,59.96577153526985,
MusicListQ1.csv,music\Q1\MT0006367176.wav,0,0,0,0,0,2,2,0,0,1,1,0,,,,,,225.2868126000394,236.77067140000872,236.79493650002405,237.27052100002766,,,,,,08,3,True,2023-02-13_18h35.05.501,BrainplaybackQuadrants,2022.2.4,59.96577153526985,
