MusicsSelect,musics,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trialsMusics.thisRepN,trialsMusics.thisTrialN,trialsMusics.thisN,trialsMusics.thisIndex,WelcomeMessage.started,Baseline1.started,Noise.started,Baseline1.stopped,Noise.stopped,Baseline2.started,MusicExcerpt.started,ISI.started,MusicExcerpt.stopped,ISI.stopped,Baseline3.started,GoodbyeText.started,Baseline3.stopped,GoodbyeText.stopped,participant,session,trigger,date,expName,psychopyVersion,frameRate,
MusicListQ3.csv,music\Q3\MT0009437817.wav,0,0,0,0,0,0,0,2,0,0,0,2,8.857019399998535,21.859965399999055,33.81361752999874,33.86279210000066,45.81486550000045,45.81486550000045,57.86459389000083,69.30077220000021,69.37653289999798,69.82173020000118,,,,,11,3,True,2023-03-08_18h04.05.069,BrainplaybackQuadrants,2022.2.4,59.98598727316832,
MusicListQ3.csv,music\Q3\MT0010375510.wav,0,0,0,0,0,0,0,2,0,1,1,1,,,,,,,69.83429258999968,81.30155240000022,81.36647749999975,81.82739869999932,,,,,11,3,True,2023-03-08_18h04.05.069,BrainplaybackQuadrants,2022.2.4,59.98598727316832,
MusicListQ3.csv,music\Q3\MT0010739708.wav,0,0,0,0,0,0,0,2,0,2,2,0,,,,,,,81.83458768999844,93.30163589999938,93.34607289999985,93.8259227999988,,,,,11,3,True,2023-03-08_18h04.05.069,BrainplaybackQuadrants,2022.2.4,59.98598727316832,
MusicListQ3.csv,,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,11,3,True,2023-03-08_18h04.05.069,BrainplaybackQuadrants,2022.2.4,59.98598727316832,
MusicListQ2.csv,music\Q2\MT0011348776.wav,0,0,0,0,0,1,1,1,0,0,0,0,,93.8259227999988,105.80214782999974,105.83589999999822,,117.81714939999802,129.8531295899993,141.30398849999983,141.35541889999877,141.8292130000009,,,,,11,3,True,2023-03-08_18h04.05.069,BrainplaybackQuadrants,2022.2.4,59.98598727316832,
MusicListQ2.csv,music\Q2\MT0011145388.wav,0,0,0,0,0,1,1,1,0,1,1,1,,,,,,,141.83744528999887,153.3041357000002,153.34515029999966,153.82769009999902,,,,,11,3,True,2023-03-08_18h04.05.069,BrainplaybackQuadrants,2022.2.4,59.98598727316832,
MusicListQ2.csv,music\Q2\MT0010490157.wav,0,0,0,0,0,1,1,1,0,2,2,2,,,,,,,153.8376430899989,165.30463709999822,165.34527040000103,,,,,,11,3,True,2023-03-08_18h04.05.069,BrainplaybackQuadrants,2022.2.4,59.98598727316832,
MusicListQ2.csv,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,11,3,True,2023-03-08_18h04.05.069,BrainplaybackQuadrants,2022.2.4,59.98598727316832,
MusicListQ4.csv,music\Q4\MT0012941049.wav,0,0,0,0,0,2,2,3,0,0,0,0,,165.83230710000134,177.80549462999988,177.83871910000016,,189.81625150000036,201.8560377899994,213.30632089999926,213.35606379999808,213.8297835000012,,,,,11,3,True,2023-03-08_18h04.05.069,BrainplaybackQuadrants,2022.2.4,59.98598727316832,
MusicListQ4.csv,music\Q4\MT0012151268.wav,0,0,0,0,0,2,2,3,0,1,1,2,,,,,,,213.84013738999784,225.30676160000075,225.34527140000137,,,,,,11,3,True,2023-03-08_18h04.05.069,BrainplaybackQuadrants,2022.2.4,59.98598727316832,
MusicListQ4.csv,music\Q4\MT0012862507.wav,0,0,0,0,0,2,2,3,0,2,2,1,,,,,,,225.85328818999915,237.30756760000077,237.36771919999956,237.82010770000124,,,,,11,3,True,2023-03-08_18h04.05.069,BrainplaybackQuadrants,2022.2.4,59.98598727316832,
MusicListQ4.csv,,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,,,11,3,True,2023-03-08_18h04.05.069,BrainplaybackQuadrants,2022.2.4,59.98598727316832,
MusicListQ1.csv,music\Q1\MT0011957429.wav,0,0,0,0,0,3,3,0,0,0,0,1,,237.82010770000124,249.8076784299992,249.82465270000102,,261.81071750000046,273.85860309000054,285.3090635999979,285.36591820000103,,,,,,11,3,True,2023-03-08_18h04.05.069,BrainplaybackQuadrants,2022.2.4,59.98598727316832,
MusicListQ1.csv,music\Q1\MT0012041920.wav,0,0,0,0,0,3,3,0,0,1,1,0,,,,,,,285.8425835599992,297.3089789000005,297.35646460000135,297.82654099999854,,,,,11,3,True,2023-03-08_18h04.05.069,BrainplaybackQuadrants,2022.2.4,59.98598727316832,
MusicListQ1.csv,music\Q1\MT0011786799.wav,0,0,0,0,0,3,3,0,0,2,2,2,,,,,,,297.8262196600008,309.3095017000014,309.3352589999995,309.85522180000044,,,,,11,3,True,2023-03-08_18h04.05.069,BrainplaybackQuadrants,2022.2.4,59.98598727316832,
MusicListQ1.csv,,0,0,0,0,0,3,3,0,,,,,,,,,,,,,,,,,,,11,3,True,2023-03-08_18h04.05.069,BrainplaybackQuadrants,2022.2.4,59.98598727316832,
,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,11,3,True,2023-03-08_18h04.05.069,BrainplaybackQuadrants,2022.2.4,59.98598727316832,
MusicListQ3.csv,music\Q3\MT0026905937.wav,1,0,1,0,0,0,0,2,0,0,0,2,,309.85522180000044,321.8436141300008,321.85990559999846,333.84615009999834,333.84615009999834,345.8942238899981,357.3448873999987,357.4049081999983,357.8709386999981,,,,,11,3,True,2023-03-08_18h04.05.069,BrainplaybackQuadrants,2022.2.4,59.98598727316832,
MusicListQ3.csv,music\Q3\MT0007610380.wav,1,0,1,0,0,0,0,2,0,1,1,1,,,,,,,357.8780453899999,369.3452885000006,369.40518520000114,369.87221359999967,,,,,11,3,True,2023-03-08_18h04.05.069,BrainplaybackQuadrants,2022.2.4,59.98598727316832,
MusicListQ3.csv,music\Q3\MT0001871732.wav,1,0,1,0,0,0,0,2,0,2,2,0,,,,,,,369.8788414900009,381.34547179999936,381.38502789999984,381.866749599998,,,,,11,3,True,2023-03-08_18h04.05.069,BrainplaybackQuadrants,2022.2.4,59.98598727316832,
MusicListQ3.csv,,1,0,1,0,0,0,0,2,,,,,,,,,,,,,,,,,,,11,3,True,2023-03-08_18h04.05.069,BrainplaybackQuadrants,2022.2.4,59.98598727316832,
MusicListQ1.csv,music\Q1\MT0029065626.wav,1,0,1,0,0,1,1,0,0,0,0,2,,381.866749599998,393.8462012300006,393.8794955000012,,405.85577550000016,417.89677238999866,429.3471537000005,429.40525569999954,429.86523529999977,,,,,11,3,True,2023-03-08_18h04.05.069,BrainplaybackQuadrants,2022.2.4,59.98598727316832,
MusicListQ1.csv,music\Q1\MT0002262181.wav,1,0,1,0,0,1,1,0,0,1,1,0,,,,,,,429.8638507600008,441.34794509999847,441.36577150000085,,,,,,11,3,True,2023-03-08_18h04.05.069,BrainplaybackQuadrants,2022.2.4,59.98598727316832,
