MusicsSelect,musics,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trialsMusics.thisRepN,trialsMusics.thisTrialN,trialsMusics.thisN,trialsMusics.thisIndex,WelcomeMessage.started,Baseline1.started,Noise.started,Baseline1.stopped,Baseline2.started,Baseline2.stopped,MusicExcerpt.started,ISI.started,MusicExcerpt.stopped,ISI.stopped,Baseline3.started,GoodbyeText.started,Baseline3.stopped,GoodbyeText.stopped,participant,session,trigger,date,expName,psychopyVersion,frameRate,
MusicListQ3.csv,music\Q3\MT0006672286.wav,0,0,0,0,0,0,0,2,0,0,0,2,20.9323919999988,33.52678240000023,45.49165390999842,45.54166020000048,57.47564449999845,69.49426329999915,69.50925743000188,80.97573740000007,81.01251630000115,81.49137139999948,,,,,12,4,True,2023-03-22_18h03.31.444,BrainplaybackQuadrants,2022.2.4,59.99613624865255,
MusicListQ3.csv,music\Q3\MT0010468178.wav,0,0,0,0,0,0,0,2,0,1,1,1,,,,,,,81.49245682000182,92.97616030000063,92.99385410000104,93.49310820000028,,,,,12,4,True,2023-03-22_18h03.31.444,BrainplaybackQuadrants,2022.2.4,59.99613624865255,
MusicListQ3.csv,music\Q3\MT0003101727.wav,0,0,0,0,0,0,0,2,0,2,2,0,,,,,,,93.49340882000033,104.97711830000117,105.00555149999855,105.48346010000023,,,,,12,4,True,2023-03-22_18h03.31.444,BrainplaybackQuadrants,2022.2.4,59.99613624865255,
MusicListQ3.csv,,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,12,4,True,2023-03-22_18h03.31.444,BrainplaybackQuadrants,2022.2.4,59.99613624865255,
MusicListQ4.csv,music\Q4\MT0008665212.wav,0,0,0,0,0,1,1,3,0,0,0,2,,105.48346010000023,117.4770664100004,117.49373900000137,129.4820660000005,,141.5279417299993,152.97889159999977,153.03267720000076,153.50155489999815,,,,,12,4,True,2023-03-22_18h03.31.444,BrainplaybackQuadrants,2022.2.4,59.99613624865255,
MusicListQ4.csv,music\Q4\MT0012888230.wav,0,0,0,0,0,1,1,3,0,1,1,1,,,,,,,153.51237602999973,164.9787967000011,165.01274230000126,165.4948712000005,,,,,12,4,True,2023-03-22_18h03.31.444,BrainplaybackQuadrants,2022.2.4,59.99613624865255,
MusicListQ4.csv,music\Q4\MT0003956612.wav,0,0,0,0,0,1,1,3,0,2,2,0,,,,,,,165.4960377199983,176.979767599998,177.0010809000014,177.48937379999916,,,,,12,4,True,2023-03-22_18h03.31.444,BrainplaybackQuadrants,2022.2.4,59.99613624865255,
MusicListQ4.csv,,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,,,12,4,True,2023-03-22_18h03.31.444,BrainplaybackQuadrants,2022.2.4,59.99613624865255,
MusicListQ2.csv,music\Q2\MT0004459450.wav,0,0,0,0,0,2,2,1,0,0,0,0,,177.48937379999916,189.47967860999853,189.49688049999895,201.48232110000026,,213.53057693000156,224.9810159999979,225.04304150000098,225.49613079999835,,,,,12,4,True,2023-03-22_18h03.31.444,BrainplaybackQuadrants,2022.2.4,59.99613624865255,
MusicListQ2.csv,music\Q2\MT0011259078.wav,0,0,0,0,0,2,2,1,0,1,1,1,,,,,,,225.49773222000078,236.98141889999897,237.00281520000135,237.49611309999818,,,,,12,4,True,2023-03-22_18h03.31.444,BrainplaybackQuadrants,2022.2.4,59.99613624865255,
MusicListQ2.csv,music\Q2\MT0007627521.wav,0,0,0,0,0,2,2,1,0,2,2,2,,,,,,,237.49811521999948,248.98185809999995,249.0028087999999,249.4932430000008,,,,,12,4,True,2023-03-22_18h03.31.444,BrainplaybackQuadrants,2022.2.4,59.99613624865255,
MusicListQ2.csv,,0,0,0,0,0,2,2,1,,,,,,,,,,,,,,,,,,,12,4,True,2023-03-22_18h03.31.444,BrainplaybackQuadrants,2022.2.4,59.99613624865255,
MusicListQ1.csv,music\Q1\MT0008575372.wav,0,0,0,0,0,3,3,0,0,0,0,2,,249.4932430000008,261.4828434099989,261.4994626000007,273.49297149999984,,285.5336791300019,296.98360980000143,297.0416966999983,297.50896400000056,,,,,12,4,True,2023-03-22_18h03.31.444,BrainplaybackQuadrants,2022.2.4,59.99613624865255,
MusicListQ1.csv,music\Q1\MT0003724610.wav,0,0,0,0,0,3,3,0,0,1,1,0,,,,,,,297.5170133300002,308.984051200001,309.02075479999985,309.50631749999957,,,,,12,4,True,2023-03-22_18h03.31.444,BrainplaybackQuadrants,2022.2.4,59.99613624865255,
MusicListQ1.csv,music\Q1\MT0011997914.wav,0,0,0,0,0,3,3,0,0,2,2,1,,,,,,,309.5174383299986,320.98454090000087,321.0207988000002,321.5293500000007,,,,,12,4,True,2023-03-22_18h03.31.444,BrainplaybackQuadrants,2022.2.4,59.99613624865255,
MusicListQ1.csv,,0,0,0,0,0,3,3,0,,,,,,,,,,,,,,,,,,,12,4,True,2023-03-22_18h03.31.444,BrainplaybackQuadrants,2022.2.4,59.99613624865255,
,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,12,4,True,2023-03-22_18h03.31.444,BrainplaybackQuadrants,2022.2.4,59.99613624865255,
MusicListQ3.csv,music\Q3\MT0008493270.wav,1,0,1,0,0,0,0,2,0,0,0,1,,321.5293500000007,333.5182980100006,333.5349905000003,345.5223440000009,,357.569227729999,369.020123899998,369.07287590000124,369.5366700000013,,,,,12,4,True,2023-03-22_18h03.31.444,BrainplaybackQuadrants,2022.2.4,59.99613624865255,
MusicListQ3.csv,music\Q3\MT0003037754.wav,1,0,1,0,0,0,0,2,0,1,1,2,,,,,,,369.53683542000147,381.020049499999,381.0426754,381.5348647999999,,,,,12,4,True,2023-03-22_18h03.31.444,BrainplaybackQuadrants,2022.2.4,59.99613624865255,
MusicListQ3.csv,music\Q3\MT0000534539.wav,1,0,1,0,0,0,0,2,0,2,2,0,,,,,,,381.53740252000136,393.02054019999923,393.041979900001,393.54107490000024,,,,,12,4,True,2023-03-22_18h03.31.444,BrainplaybackQuadrants,2022.2.4,59.99613624865255,
MusicListQ3.csv,,1,0,1,0,0,0,0,2,,,,,,,,,,,,,,,,,,,12,4,True,2023-03-22_18h03.31.444,BrainplaybackQuadrants,2022.2.4,59.99613624865255,
MusicListQ1.csv,music\Q1\MT0001217651.wav,1,0,1,0,0,1,1,0,0,0,0,0,,393.54107490000024,405.5215059099981,405.55428029999894,417.52439439999944,,429.57182693,441.0227922000013,441.0728983000008,441.53907419999814,,,,,12,4,True,2023-03-22_18h03.31.444,BrainplaybackQuadrants,2022.2.4,59.99613624865255,
MusicListQ1.csv,music\Q1\MT0010501618.wav,1,0,1,0,0,1,1,0,0,1,1,1,,,,,,,441.5389214200019,453.0254657000005,453.0435804999979,453.5501245000014,,,,,12,4,True,2023-03-22_18h03.31.444,BrainplaybackQuadrants,2022.2.4,59.99613624865255,
MusicListQ1.csv,music\Q1\MT0003603772.wav,1,0,1,0,0,1,1,0,0,2,2,2,,,,,,,453.5585230300007,465.0255814000011,465.0641642999981,465.5485535000007,,,,,12,4,True,2023-03-22_18h03.31.444,BrainplaybackQuadrants,2022.2.4,59.99613624865255,
MusicListQ1.csv,,1,0,1,0,0,1,1,0,,,,,,,,,,,,,,,,,,,12,4,True,2023-03-22_18h03.31.444,BrainplaybackQuadrants,2022.2.4,59.99613624865255,
MusicListQ4.csv,music\Q4\MT0011380622.wav,1,0,1,0,0,2,2,3,0,0,0,1,,465.5485535000007,477.5263515099985,477.5593767999999,489.53309420000005,,501.5772606300001,513.0272777999999,513.0829943999997,513.5528532999997,,,,,12,4,True,2023-03-22_18h03.31.444,BrainplaybackQuadrants,2022.2.4,59.99613624865255,
MusicListQ4.csv,music\Q4\MT0003710207.wav,1,0,1,0,0,2,2,3,0,1,1,2,,,,,,,513.5610124299986,525.0281891999985,525.0750364999985,525.5467731999997,,,,,12,4,True,2023-03-22_18h03.31.444,BrainplaybackQuadrants,2022.2.4,59.99613624865255,
MusicListQ4.csv,music\Q4\MT0000636335.wav,1,0,1,0,0,2,2,3,0,2,2,0,,,,,,,525.5447994200017,537.0282488000012,537.0540254000007,537.5573373000007,,,,,12,4,True,2023-03-22_18h03.31.444,BrainplaybackQuadrants,2022.2.4,59.99613624865255,
