MusicsSelect,musics,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trialsMusics.thisRepN,trialsMusics.thisTrialN,trialsMusics.thisN,trialsMusics.thisIndex,WelcomeMessage.started,Baseline1.started,Noise.started,Baseline1.stopped,Baseline2.started,MusicExcerpt.started,ISI.started,MusicExcerpt.stopped,ISI.stopped,Baseline2.stopped,Noise.stopped,Baseline3.started,GoodbyeText.started,Baseline3.stopped,GoodbyeText.stopped,participant,session,trigger,date,expName,psychopyVersion,frameRate,
MusicListQ1.csv,music\Q1\MT0007057303.wav,0,0,0,0,0,0,0,0,0,0,0,0,37.99484279999979,52.36265309999999,64.31916065999977,64.36906409999938,76.32505690000016,88.37017167999984,99.82035899999937,99.87574899999981,100.33676070000001,,,,,,,14,3,True,2023-04-03_13h26.06.750,BrainplaybackQuadrants,2022.2.4,59.70199153909896,
MusicListQ1.csv,music\Q1\MT0009208842.wav,0,0,0,0,0,0,0,0,0,1,1,2,,,,,,100.33747662000025,111.82081219999964,111.84552739999981,112.33848289999969,,,,,,,14,3,True,2023-04-03_13h26.06.750,BrainplaybackQuadrants,2022.2.4,59.70199153909896,
MusicListQ1.csv,music\Q1\MT0005083488.wav,0,0,0,0,0,0,0,0,0,2,2,1,,,,,,112.33766541999995,123.81874890000017,123.85483990000012,124.32669669999996,,,,,,,14,3,True,2023-04-03_13h26.06.750,BrainplaybackQuadrants,2022.2.4,59.70199153909896,
MusicListQ1.csv,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,14,3,True,2023-04-03_13h26.06.750,BrainplaybackQuadrants,2022.2.4,59.70199153909896,
MusicListQ4.csv,music\Q4\MT0010203716.wav,0,0,0,0,0,1,1,3,0,0,0,2,,124.32669669999996,136.31982026000006,136.3364561999997,148.32449319999978,160.37277597999966,171.8204829999995,171.8932888999998,172.3425600999999,,,,,,,14,3,True,2023-04-03_13h26.06.750,BrainplaybackQuadrants,2022.2.4,59.70199153909896,
MusicListQ4.csv,music\Q4\MT0007119529.wav,0,0,0,0,0,1,1,3,0,1,1,0,,,,,,172.35411437999957,183.82094789999974,183.86471660000007,184.33625819999997,,,,,,,14,3,True,2023-04-03_13h26.06.750,BrainplaybackQuadrants,2022.2.4,59.70199153909896,
MusicListQ4.csv,music\Q4\MT0005550441.wav,0,0,0,0,0,1,1,3,0,2,2,1,,,,,,184.3378051199996,195.82140040000013,195.8449654999995,196.33237519999966,,,,,,,14,3,True,2023-04-03_13h26.06.750,BrainplaybackQuadrants,2022.2.4,59.70199153909896,
MusicListQ4.csv,,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,,,,14,3,True,2023-04-03_13h26.06.750,BrainplaybackQuadrants,2022.2.4,59.70199153909896,
MusicListQ3.csv,music\Q3\MT0007410187.wav,0,0,0,0,0,2,2,2,0,0,0,2,,196.33237519999966,208.32439775999993,208.34102530000018,220.3369662999994,232.3736397799996,243.82321369999954,243.87471939999978,244.34521719999975,,,,,,,14,3,True,2023-04-03_13h26.06.750,BrainplaybackQuadrants,2022.2.4,59.70199153909896,
MusicListQ3.csv,music\Q3\MT0004131058.wav,0,0,0,0,0,2,2,2,0,1,1,1,,,,,,244.35676707999957,255.8260993999993,255.86493989999963,256.34142470000006,,,,,,,14,3,True,2023-04-03_13h26.06.750,BrainplaybackQuadrants,2022.2.4,59.70199153909896,
