MusicsSelect,musics,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trialsMusics.thisRepN,trialsMusics.thisTrialN,trialsMusics.thisN,trialsMusics.thisIndex,WelcomeMessage.started,Baseline1.started,Noise.started,Baseline1.stopped,Baseline2.started,Baseline2.stopped,MusicExcerpt.started,ISI.started,MusicExcerpt.stopped,ISI.stopped,Noise.stopped,Baseline3.started,GoodbyeText.started,Baseline3.stopped,GoodbyeText.stopped,participant,session,trigger,date,expName,psychopyVersion,frameRate,
MusicListQ2.csv,music\Q2\MT0008596275.wav,0,0,0,0,0,0,0,1,0,0,0,2,18.27781529999993,34.863312899997254,46.81104453999942,46.87774659999923,58.81606069999907,70.82613909999782,70.83189917999988,82.31564349999826,82.33563619999768,82.82245989999865,,,,,,15,4,True,2023-04-04_18h03.25.841,BrainplaybackQuadrants,2022.2.4,59.66747317231435,
MusicListQ2.csv,music\Q2\MT0028560561.wav,0,0,0,0,0,0,0,1,0,1,1,1,,,,,,,82.83236757999765,94.31631029999699,94.33561419999751,94.82189019999714,,,,,,15,4,True,2023-04-04_18h03.25.841,BrainplaybackQuadrants,2022.2.4,59.66747317231435,
MusicListQ2.csv,music\Q2\MT0012116237.wav,0,0,0,0,0,0,0,1,0,2,2,0,,,,,,,94.83271357999837,106.31644629999937,106.33495119999861,106.82502429999658,,,,,,15,4,True,2023-04-04_18h03.25.841,BrainplaybackQuadrants,2022.2.4,59.66747317231435,
MusicListQ2.csv,,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,15,4,True,2023-04-04_18h03.25.841,BrainplaybackQuadrants,2022.2.4,59.66747317231435,
MusicListQ3.csv,music\Q3\MT0011440705.wav,0,0,0,0,0,1,1,2,0,0,0,0,,106.82502429999658,118.81689673999935,118.83382469999924,130.82548049999968,,142.8513305799999,154.31837809999706,154.35475229999793,154.82415579999724,,,,,,15,4,True,2023-04-04_18h03.25.841,BrainplaybackQuadrants,2022.2.4,59.66747317231435,
MusicListQ3.csv,music\Q3\MT0007728545.wav,0,0,0,0,0,1,1,2,0,1,1,2,,,,,,,154.83479037999786,166.3183797999991,166.33571819999997,166.8229395999988,,,,,,15,4,True,2023-04-04_18h03.25.841,BrainplaybackQuadrants,2022.2.4,59.66747317231435,
MusicListQ3.csv,music\Q3\MT0026330298.wav,0,0,0,0,0,1,1,2,0,2,2,1,,,,,,,166.83554917999862,178.31920379999792,178.33564759999717,178.8299365999992,,,,,,15,4,True,2023-04-04_18h03.25.841,BrainplaybackQuadrants,2022.2.4,59.66747317231435,
MusicListQ3.csv,,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,,,,15,4,True,2023-04-04_18h03.25.841,BrainplaybackQuadrants,2022.2.4,59.66747317231435,
MusicListQ4.csv,music\Q4\MT0030442334.wav,0,0,0,0,0,2,2,3,0,0,0,1,,178.8299365999992,190.8196280399985,190.83629209999708,202.82551129999774,,214.8539172800003,226.32088419999855,226.36721529999704,226.82644789999904,,,,,,15,4,True,2023-04-04_18h03.25.841,BrainplaybackQuadrants,2022.2.4,59.66747317231435,
MusicListQ4.csv,music\Q4\MT0014475915.wav,0,0,0,0,0,2,2,3,0,1,1,0,,,,,,,226.83750247999996,238.32120509999731,238.34574329999668,238.82732529999703,,,,,,15,4,True,2023-04-04_18h03.25.841,BrainplaybackQuadrants,2022.2.4,59.66747317231435,
MusicListQ4.csv,music\Q4\MT0010855214.wav,0,0,0,0,0,2,2,3,0,2,2,2,,,,,,,238.83795977999688,250.32166629999847,250.34564659999887,250.83512659999906,,,,,,15,4,True,2023-04-04_18h03.25.841,BrainplaybackQuadrants,2022.2.4,59.66747317231435,
MusicListQ4.csv,,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,,,,15,4,True,2023-04-04_18h03.25.841,BrainplaybackQuadrants,2022.2.4,59.66747317231435,
MusicListQ1.csv,music\Q1\MT0028627699.wav,0,0,0,0,0,3,3,0,0,0,0,1,,250.83512659999906,262.82207254000025,262.83842469999945,274.82528749999983,,286.8559048799973,298.32303859999956,298.36471849999725,298.8289549999972,274.82528749999983,,,,,15,4,True,2023-04-04_18h03.25.841,BrainplaybackQuadrants,2022.2.4,59.66747317231435,
MusicListQ1.csv,music\Q1\MT0013350034.wav,0,0,0,0,0,3,3,0,0,1,1,0,,,,,,,298.8397170799974,310.32336849999774,310.34563389999676,310.8293907999978,,,,,,15,4,True,2023-04-04_18h03.25.841,BrainplaybackQuadrants,2022.2.4,59.66747317231435,
MusicListQ1.csv,music\Q1\MT0009904717.wav,0,0,0,0,0,3,3,0,0,2,2,2,,,,,,,310.8400842799995,322.32378069999686,322.3453114999975,322.8699600999971,,,,,,15,4,True,2023-04-04_18h03.25.841,BrainplaybackQuadrants,2022.2.4,59.66747317231435,
MusicListQ1.csv,,0,0,0,0,0,3,3,0,,,,,,,,,,,,,,,,,,,,15,4,True,2023-04-04_18h03.25.841,BrainplaybackQuadrants,2022.2.4,59.66747317231435,
,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,15,4,True,2023-04-04_18h03.25.841,BrainplaybackQuadrants,2022.2.4,59.66747317231435,
MusicListQ3.csv,music\Q3\MT0015004289.wav,1,0,1,0,0,0,0,2,0,0,0,1,,322.8699600999971,334.85750494000024,334.87420199999906,346.8650966999994,,358.8917299799971,370.3587297999984,370.39543649999905,370.8644177999995,,,,,,15,4,True,2023-04-04_18h03.25.841,BrainplaybackQuadrants,2022.2.4,59.66747317231435,
MusicListQ3.csv,music\Q3\MT0015715008.wav,1,0,1,0,0,0,0,2,0,1,1,0,,,,,,,370.87532637999834,382.35941159999857,382.38445969999884,382.8645144999973,,,,,,15,4,True,2023-04-04_18h03.25.841,BrainplaybackQuadrants,2022.2.4,59.66747317231435,
MusicListQ3.csv,music\Q3\MT0014046859.wav,1,0,1,0,0,0,0,2,0,2,2,2,,,,,,,382.8758253799999,394.3598579999998,394.3846107999998,394.88173989999996,,,,,,15,4,True,2023-04-04_18h03.25.841,BrainplaybackQuadrants,2022.2.4,59.66747317231435,
MusicListQ3.csv,,1,0,1,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,15,4,True,2023-04-04_18h03.25.841,BrainplaybackQuadrants,2022.2.4,59.66747317231435,
MusicListQ2.csv,music\Q2\MT0014878397.wav,1,0,1,0,0,1,1,1,0,0,0,2,,394.88173989999996,406.85996443999977,406.89339469999686,418.864813199998,,430.9107137199979,442.3612809999977,442.41542279999703,442.87841429999753,,,,,,15,4,True,2023-04-04_18h03.25.841,BrainplaybackQuadrants,2022.2.4,59.66747317231435,
MusicListQ2.csv,music\Q2\MT0028469910.wav,1,0,1,0,0,1,1,1,0,1,1,0,,,,,,,442.87798897999824,454.3618155999975,454.38478289999694,454.8785555999966,,,,,,15,4,True,2023-04-04_18h03.25.841,BrainplaybackQuadrants,2022.2.4,59.66747317231435,
MusicListQ2.csv,music\Q2\MT0026963572.wav,1,0,1,0,0,1,1,1,0,2,2,1,,,,,,,454.8785268799977,466.3622869999999,466.38429469999755,466.88527089999843,,,,,,15,4,True,2023-04-04_18h03.25.841,BrainplaybackQuadrants,2022.2.4,59.66747317231435,
MusicListQ2.csv,,1,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,15,4,True,2023-04-04_18h03.25.841,BrainplaybackQuadrants,2022.2.4,59.66747317231435,
MusicListQ4.csv,music\Q4\MT0028066739.wav,1,0,1,0,0,2,2,3,0,0,0,2,,466.88527089999843,478.86278313999867,478.896081699997,490.864668299997,502.87332349999997,502.88056298000015,514.364273799998,514.3854170999984,514.8699497999987,490.864668299997,,,,,15,4,True,2023-04-04_18h03.25.841,BrainplaybackQuadrants,2022.2.4,59.66747317231435,
MusicListQ4.csv,music\Q4\MT0030369896.wav,1,0,1,0,0,2,2,3,0,1,1,0,,,,,,,514.8806551800001,526.3647240999999,526.3966810999991,526.8701170999993,,,,,,15,4,True,2023-04-04_18h03.25.841,BrainplaybackQuadrants,2022.2.4,59.66747317231435,
MusicListQ4.csv,music\Q4\MT0029976595.wav,1,0,1,0,0,2,2,3,0,2,2,1,,,,,,,526.8813621799993,538.3650849999976,538.3947449999978,538.8910387999967,,,,,,15,4,True,2023-04-04_18h03.25.841,BrainplaybackQuadrants,2022.2.4,59.66747317231435,
MusicListQ4.csv,,1,0,1,0,0,2,2,3,,,,,,,,,,,,,,,,,,,,15,4,True,2023-04-04_18h03.25.841,BrainplaybackQuadrants,2022.2.4,59.66747317231435,
MusicListQ1.csv,music\Q1\MT0028617657.wav,1,0,1,0,0,3,3,0,0,0,0,0,,538.8910387999967,550.865204739997,550.8988716999993,562.8653035999996,574.8761857999998,574.8830233799993,586.3666874999981,586.3850113999979,586.8726670999968,562.8653035999996,,,,,15,4,True,2023-04-04_18h03.25.841,BrainplaybackQuadrants,2022.2.4,59.66747317231435,
MusicListQ1.csv,music\Q1\MT0018450519.wav,1,0,1,0,0,3,3,0,0,1,1,2,,,,,,,586.883350479998,598.3664431999969,598.3851928999975,598.8730141999986,,,,,,15,4,True,2023-04-04_18h03.25.841,BrainplaybackQuadrants,2022.2.4,59.66747317231435,
MusicListQ1.csv,music\Q1\MT0027035970.wav,1,0,1,0,0,3,3,0,0,2,2,1,,,,,,,598.8836546799969,610.367271799998,610.3939599999976,610.9692651999976,,,,,,15,4,True,2023-04-04_18h03.25.841,BrainplaybackQuadrants,2022.2.4,59.66747317231435,
MusicListQ1.csv,,1,0,1,0,0,3,3,0,,,,,,,,,,,,,,,,,,,,15,4,True,2023-04-04_18h03.25.841,BrainplaybackQuadrants,2022.2.4,59.66747317231435,
,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,15,4,True,2023-04-04_18h03.25.841,BrainplaybackQuadrants,2022.2.4,59.66747317231435,
,,,,,,,,,,,,,,,,,,,,,,,,,610.9692651999976,634.9343427999993,634.9843397999975,635.934333199999,,,,,,,,
