MusicsSelect,musics,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trialsMusics.thisRepN,trialsMusics.thisTrialN,trialsMusics.thisN,trialsMusics.thisIndex,WelcomeMessage.started,Baseline1.started,Noise.started,Baseline1.stopped,Baseline2.started,MusicExcerpt.started,ISI.started,MusicExcerpt.stopped,ISI.stopped,Baseline3.started,GoodbyeText.started,Baseline3.stopped,GoodbyeText.stopped,participant,session,trigger,date,expName,psychopyVersion,frameRate,
MusicListQ1.csv,music\Q1\MT0030484925.wav,0,0,0,0,0,0,0,0,0,0,0,0,12.140539899999567,24.5018414999995,36.452780110000276,36.50335610000002,48.45541439999943,60.50404663000063,71.95699109999987,72.01302609999948,72.47308420000081,,,,,17,4,True,2023-04-18_17h30.47.922,BrainplaybackQuadrants,2022.2.4,59.711581120679924,
MusicListQ1.csv,music\Q1\MT0032235381.wav,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,72.47316072000103,83.95733149999978,83.9826850999998,84.47890630000074,,,,,17,4,True,2023-04-18_17h30.47.922,BrainplaybackQuadrants,2022.2.4,59.711581120679924,
MusicListQ1.csv,music\Q1\MT0011786799.wav,0,0,0,0,0,0,0,0,0,2,2,2,,,,,,84.49050183000054,95.95779760000005,95.99267289999989,96.46685220000109,,,,,17,4,True,2023-04-18_17h30.47.922,BrainplaybackQuadrants,2022.2.4,59.711581120679924,
MusicListQ1.csv,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,17,4,True,2023-04-18_17h30.47.922,BrainplaybackQuadrants,2022.2.4,59.711581120679924,
MusicListQ2.csv,music\Q2\MT0010490157.wav,0,0,0,0,0,1,1,1,0,0,0,2,,96.46685220000109,108.4578291099997,108.4749109000004,120.46423359999972,132.50866493000012,143.9592233000003,144.02433490000112,144.48637120000058,,,,,17,4,True,2023-04-18_17h30.47.922,BrainplaybackQuadrants,2022.2.4,59.711581120679924,
MusicListQ2.csv,music\Q2\MT0032957418.wav,0,0,0,0,0,1,1,1,0,1,1,1,,,,,,144.4927058300009,155.95972360000087,156.00291470000047,156.4758624999995,,,,,17,4,True,2023-04-18_17h30.47.922,BrainplaybackQuadrants,2022.2.4,59.711581120679924,
MusicListQ2.csv,music\Q2\MT0030124886.wav,0,0,0,0,0,1,1,1,0,2,2,0,,,,,,156.47628092000014,167.95855740000115,168.00383809999948,168.49519970000074,,,,,17,4,True,2023-04-18_17h30.47.922,BrainplaybackQuadrants,2022.2.4,59.711581120679924,
MusicListQ2.csv,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,17,4,True,2023-04-18_17h30.47.922,BrainplaybackQuadrants,2022.2.4,59.711581120679924,
MusicListQ4.csv,music\Q4\MT0031807708.wav,0,0,0,0,0,2,2,3,0,0,0,0,,168.49519970000074,180.45894830999987,180.50902789999964,192.4635263,204.5263263399993,215.9602788000011,216.03399549999995,216.48749060000046,,,,,17,4,True,2023-04-18_17h30.47.922,BrainplaybackQuadrants,2022.2.4,59.711581120679924,
MusicListQ4.csv,music\Q4\MT0033391280.wav,0,0,0,0,0,2,2,3,0,1,1,1,,,,,,216.49349243000052,227.9607672000002,228.00335210000048,228.4870107000006,,,,,17,4,True,2023-04-18_17h30.47.922,BrainplaybackQuadrants,2022.2.4,59.711581120679924,
MusicListQ4.csv,music\Q4\MT0012151268.wav,0,0,0,0,0,2,2,3,0,2,2,2,,,,,,228.4932847299997,239.9611954000011,240.00349860000097,240.49916070000108,,,,,17,4,True,2023-04-18_17h30.47.922,BrainplaybackQuadrants,2022.2.4,59.711581120679924,
MusicListQ4.csv,,0,0,0,0,0,2,2,3,,,,,,,,,,,,,,,,,,17,4,True,2023-04-18_17h30.47.922,BrainplaybackQuadrants,2022.2.4,59.711581120679924,
MusicListQ3.csv,music\Q3\MT0030422114.wav,0,0,0,0,0,3,3,2,0,0,0,1,,240.49916070000108,252.4616035099998,252.5116510000007,264.4656732000003,276.5289317400002,287.9456384999994,288.03310480000073,288.4673590000002,,,,,17,4,True,2023-04-18_17h30.47.922,BrainplaybackQuadrants,2022.2.4,59.711581120679924,
MusicListQ3.csv,music\Q3\MT0009437817.wav,0,0,0,0,0,3,3,2,0,1,1,2,,,,,,288.4810775300002,299.94673350000085,300.00404680000065,300.4695745000008,,,,,17,4,True,2023-04-18_17h30.47.922,BrainplaybackQuadrants,2022.2.4,59.711581120679924,
MusicListQ3.csv,music\Q3\MT0029861029.wav,0,0,0,0,0,3,3,2,0,2,2,0,,,,,,300.47987553000075,311.9471659999999,311.98352309999973,312.5192482000002,,,,,17,4,True,2023-04-18_17h30.47.922,BrainplaybackQuadrants,2022.2.4,59.711581120679924,
MusicListQ3.csv,,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,,17,4,True,2023-04-18_17h30.47.922,BrainplaybackQuadrants,2022.2.4,59.711581120679924,
,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,17,4,True,2023-04-18_17h30.47.922,BrainplaybackQuadrants,2022.2.4,59.711581120679924,
MusicListQ4.csv,music\Q4\MT0004867564.wav,1,0,1,0,0,0,0,3,0,0,0,1,,312.5192482000002,324.5142796099999,324.53096220000043,336.5241954000012,348.5666714299996,360.01557820000016,360.0846511,360.54430069999944,,,,,17,4,True,2023-04-18_17h30.47.922,BrainplaybackQuadrants,2022.2.4,59.711581120679924,
MusicListQ4.csv,music\Q4\MT0013486354.wav,1,0,1,0,0,0,0,3,0,1,1,2,,,,,,360.5487520300003,372.01528979999966,372.0519783,372.55258400000093,,,,,17,4,True,2023-04-18_17h30.47.922,BrainplaybackQuadrants,2022.2.4,59.711581120679924,
MusicListQ4.csv,music\Q4\MT0000092267.wav,1,0,1,0,0,0,0,3,0,2,2,0,,,,,,372.5658088399996,384.0164853999995,384.07381239999995,384.54320050000024,,,,,17,4,True,2023-04-18_17h30.47.922,BrainplaybackQuadrants,2022.2.4,59.711581120679924,
MusicListQ4.csv,,1,0,1,0,0,0,0,3,,,,,,,,,,,,,,,,,,17,4,True,2023-04-18_17h30.47.922,BrainplaybackQuadrants,2022.2.4,59.711581120679924,
MusicListQ1.csv,music\Q1\MT0000082187.wav,1,0,1,0,0,1,1,0,0,0,0,0,,384.54320050000024,396.5168723100005,396.5502439000011,408.52280679999967,420.58415464000063,432.01823180000065,432.0918340999997,432.5500642999996,,,,,17,4,True,2023-04-18_17h30.47.922,BrainplaybackQuadrants,2022.2.4,59.711581120679924,
MusicListQ1.csv,music\Q1\MT0004447226.wav,1,0,1,0,0,1,1,0,0,1,1,1,,,,,,432.55139363000035,444.018469300001,444.06308720000015,444.54498740000054,,,,,17,4,True,2023-04-18_17h30.47.922,BrainplaybackQuadrants,2022.2.4,59.711581120679924,
MusicListQ1.csv,music\Q1\MT0012742379.wav,1,0,1,0,0,1,1,0,0,2,2,2,,,,,,444.5516860300004,456.01893089999976,456.0632134999996,456.569998500001,,,,,17,4,True,2023-04-18_17h30.47.922,BrainplaybackQuadrants,2022.2.4,59.711581120679924,
MusicListQ1.csv,,1,0,1,0,0,1,1,0,,,,,,,,,,,,,,,,,,17,4,True,2023-04-18_17h30.47.922,BrainplaybackQuadrants,2022.2.4,59.711581120679924,
MusicListQ2.csv,music\Q2\MT0000011975.wav,1,0,1,0,0,2,2,1,0,0,0,0,,456.569998500001,468.5187682099995,468.56935689999955,480.5232025999994,492.5867121400006,504.0040004000002,504.0922604999996,504.53626880000047,,,,,17,4,True,2023-04-18_17h30.47.922,BrainplaybackQuadrants,2022.2.4,59.711581120679924,
MusicListQ2.csv,music\Q2\MT0004958762.wav,1,0,1,0,0,2,2,1,0,1,1,1,,,,,,504.53718603000107,516.0044722000002,516.0434201999997,516.5288951000002,,,,,17,4,True,2023-04-18_17h30.47.922,BrainplaybackQuadrants,2022.2.4,59.711581120679924,
MusicListQ2.csv,music\Q2\MT0011959819.wav,1,0,1,0,0,2,2,1,0,2,2,2,,,,,,516.5376261299998,528.0044214000009,528.0424251000004,528.5347973000007,,,,,17,4,True,2023-04-18_17h30.47.922,BrainplaybackQuadrants,2022.2.4,59.711581120679924,
MusicListQ2.csv,,1,0,1,0,0,2,2,1,,,,,,,,,,,,,,,,,,17,4,True,2023-04-18_17h30.47.922,BrainplaybackQuadrants,2022.2.4,59.711581120679924,
MusicListQ3.csv,music\Q3\MT0011158114.wav,1,0,1,0,0,3,3,2,0,0,0,2,,528.5347973000007,540.5054623099995,540.5388624999996,552.5136101000007,564.5728552399996,576.0068308999998,576.0901629,576.5407073999995,,,,,17,4,True,2023-04-18_17h30.47.922,BrainplaybackQuadrants,2022.2.4,59.711581120679924,
MusicListQ3.csv,music\Q3\MT0003530174.wav,1,0,1,0,0,3,3,2,0,1,1,1,,,,,,576.5400628300004,588.0070999,588.0431205000004,588.530178500001,,,,,17,4,True,2023-04-18_17h30.47.922,BrainplaybackQuadrants,2022.2.4,59.711581120679924,
MusicListQ3.csv,music\Q3\MT0000044741.wav,1,0,1,0,0,3,3,2,0,2,2,0,,,,,,588.5403222300001,600.0076023000001,600.0432741000004,600.6362334999994,,,,,17,4,True,2023-04-18_17h30.47.922,BrainplaybackQuadrants,2022.2.4,59.711581120679924,
MusicListQ3.csv,,1,0,1,0,0,3,3,2,,,,,,,,,,,,,,,,,,17,4,True,2023-04-18_17h30.47.922,BrainplaybackQuadrants,2022.2.4,59.711581120679924,
,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,17,4,True,2023-04-18_17h30.47.922,BrainplaybackQuadrants,2022.2.4,59.711581120679924,
,,,,,,,,,,,,,,,,,,,,,,,600.6362334999994,624.5919862999999,624.6419893000002,625.5919976999994,,,,,,,,
