MusicsSelect,musics,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trialsMusics.thisRepN,trialsMusics.thisTrialN,trialsMusics.thisN,trialsMusics.thisIndex,WelcomeMessage.started,Baseline1.started,Noise.started,Baseline1.stopped,Baseline2.started,MusicExcerpt.started,ISI.started,MusicExcerpt.stopped,ISI.stopped,Noise.stopped,Baseline3.started,GoodbyeText.started,Baseline3.stopped,GoodbyeText.stopped,participant,session,trigger,date,expName,psychopyVersion,frameRate,
MusicListQ1.csv,music\Q1\MT0003724610.wav,0,0,0,0,0,0,0,0,0,0,0,0,16.472332199999073,42.011471099998744,53.9452531699997,54.011889899999005,65.96232109999983,77.99606690999862,89.44647079999959,89.49647889999869,89.97980769999958,,,,,,20,4,True,2023-09-26_15h36.54.309,BrainplaybackQuadrants,2022.2.4,59.97713671529365,
MusicListQ1.csv,music\Q1\MT0008575372.wav,0,0,0,0,0,0,0,0,0,1,1,2,,,,,,89.97982380999964,101.44686629999887,101.49688409999908,101.98023609999836,,,,,,20,4,True,2023-09-26_15h36.54.309,BrainplaybackQuadrants,2022.2.4,59.97713671529365,
MusicListQ1.csv,music\Q1\MT0011997914.wav,0,0,0,0,0,0,0,0,0,2,2,1,,,,,,101.98024480999847,113.44730249999884,113.49731089999841,113.96398969999973,,,,,,20,4,True,2023-09-26_15h36.54.309,BrainplaybackQuadrants,2022.2.4,59.97713671529365,
MusicListQ1.csv,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,20,4,True,2023-09-26_15h36.54.309,BrainplaybackQuadrants,2022.2.4,59.97713671529365,
MusicListQ3.csv,music\Q3\MT0006672286.wav,0,0,0,0,0,1,1,2,0,0,0,2,,113.96398969999973,125.94771397000004,125.96440589999838,137.96482829999877,149.99857190999901,161.44897469999887,161.5156496999989,161.98233099999925,,,,,,20,4,True,2023-09-26_15h36.54.309,BrainplaybackQuadrants,2022.2.4,59.97713671529365,
MusicListQ3.csv,music\Q3\MT0003101727.wav,0,0,0,0,0,1,1,2,0,1,1,0,,,,,,161.9823280099994,173.44936869999947,173.49945669999943,173.9827218999999,,,,,,20,4,True,2023-09-26_15h36.54.309,BrainplaybackQuadrants,2022.2.4,59.97713671529365,
MusicListQ3.csv,music\Q3\MT0010468178.wav,0,0,0,0,0,1,1,2,0,2,2,1,,,,,,173.98275520999997,185.44980619999842,185.49988109999867,185.96652769999855,,,,,,20,4,True,2023-09-26_15h36.54.309,BrainplaybackQuadrants,2022.2.4,59.97713671529365,
MusicListQ3.csv,,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,,,,,20,4,True,2023-09-26_15h36.54.309,BrainplaybackQuadrants,2022.2.4,59.97713671529365,
MusicListQ2.csv,music\Q2\MT0007627521.wav,0,0,0,0,0,2,2,1,0,0,0,2,,185.96652769999855,197.950246969999,197.96689309999965,209.96731049999835,222.00107370999868,233.4514761999999,233.51814889999878,234.06815039999856,,,,,,20,4,True,2023-09-26_15h36.54.309,BrainplaybackQuadrants,2022.2.4,59.97713671529365,
MusicListQ2.csv,music\Q2\MT0011259078.wav,0,0,0,0,0,2,2,1,0,1,1,1,,,,,,234.06816475999986,245.45189109999956,245.58523999999852,245.98525139999947,,,,,,20,4,True,2023-09-26_15h36.54.309,BrainplaybackQuadrants,2022.2.4,59.97713671529365,
MusicListQ2.csv,music\Q2\MT0004459450.wav,0,0,0,0,0,2,2,1,0,2,2,0,,,,,,245.98524810999916,257.4522939999988,257.5023165999992,257.98564889999943,,,,,,20,4,True,2023-09-26_15h36.54.309,BrainplaybackQuadrants,2022.2.4,59.97713671529365,
MusicListQ2.csv,,0,0,0,0,0,2,2,1,,,,,,,,,,,,,,,,,,,20,4,True,2023-09-26_15h36.54.309,BrainplaybackQuadrants,2022.2.4,59.97713671529365,
MusicListQ4.csv,music\Q4\MT0012888230.wav,0,0,0,0,0,3,3,3,0,0,0,1,,257.98564889999943,269.9527525699985,269.98606239999935,281.96988989999954,294.0035737099992,305.4539599,305.5039720999994,305.9873162999993,,,,,,20,4,True,2023-09-26_15h36.54.309,BrainplaybackQuadrants,2022.2.4,59.97713671529365,
MusicListQ4.csv,music\Q4\MT0003956612.wav,0,0,0,0,0,3,3,3,0,1,1,0,,,,,,305.9873285099988,317.4543408999998,317.5043635999991,317.9877343999997,,,,,,20,4,True,2023-09-26_15h36.54.309,BrainplaybackQuadrants,2022.2.4,59.97713671529365,
MusicListQ4.csv,music\Q4\MT0008665212.wav,0,0,0,0,0,3,3,3,0,2,2,2,,,,,,317.9877444099988,329.45480959999986,329.5048199999983,330.02149309999913,,,,,,20,4,True,2023-09-26_15h36.54.309,BrainplaybackQuadrants,2022.2.4,59.97713671529365,
MusicListQ4.csv,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,20,4,True,2023-09-26_15h36.54.309,BrainplaybackQuadrants,2022.2.4,59.97713671529365,
,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,20,4,True,2023-09-26_15h36.54.309,BrainplaybackQuadrants,2022.2.4,59.97713671529365,
MusicListQ4.csv,music\Q4\MT0000636335.wav,1,0,1,0,0,0,0,3,0,0,0,0,,330.02149309999913,342.0052339699985,342.02190319999863,354.0223369999985,366.05607250999896,377.5064662999994,377.57313279999835,378.03982019999967,,,,,,20,4,True,2023-09-26_15h36.54.309,BrainplaybackQuadrants,2022.2.4,59.97713671529365,
