trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,starttext.started,starttext.stopped,music.id,Quadrants.id,russellsQuad.started,russellsQuad.stopped,music.started,music.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,fixCross.started,fixCross.stopped,goodbyetext.started,goodbyetext.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,22.51151379995281,None,../fMRI_stim/music/Q2/MT0004316859.wav,Q2,25.13982419995591,None,25.139760549966013,None,[-0.21875],[0.11625],[1],[0],[0],[7.018278600007761],0.012422850006259978,None,32.15769849997014,None,,,01_04,001,2023-03-20_16h47.03.526,musicemotionlatency,2022.1.3,60.59599799311299,
1,0,1,0,,,../fMRI_stim/music/Q1/MT0007147603.wav,Q1,34.39798690000316,None,34.392446649988415,None,[0.04375],[0.1975],[1],[0],[0],[7.013502100016922],0.010151150054298341,None,41.408213299990166,None,,,01_04,001,2023-03-20_16h47.03.526,musicemotionlatency,2022.1.3,60.59599799311299,
2,0,2,0,,,../fMRI_stim/music/Q3/MT0002087541.wav,Q3,43.64811219996773,None,43.64168534995406,None,[-0.26875],[-0.03],[1],[0],[0],[6.720581499976106],0.0165339499944821,None,50.3583863999811,None,,,01_04,001,2023-03-20_16h47.03.526,musicemotionlatency,2022.1.3,60.59599799311299,
3,0,3,0,,,../fMRI_stim/music/Q3/MT0005217073.wav,Q4,52.597927899973,None,52.57563161996659,None,[0.30875],[-0.20625],[1],[0],[0],[6.876105700037442],0.005133419937919825,None,59.458418099966366,None,,,01_04,001,2023-03-20_16h47.03.526,musicemotionlatency,2022.1.3,60.59599799311299,
4,0,4,0,,,../fMRI_stim/music/Q3/MT0005520274.wav,Q1,61.68105710000964,None,61.67569671997335,None,[0.3025],[0.09375],[1],[0],[0],[7.228776399977505],0.007976919936481863,None,68.90868439996848,None,,,01_04,001,2023-03-20_16h47.03.526,musicemotionlatency,2022.1.3,60.59599799311299,
5,0,5,0,,,../fMRI_stim/music/Q2/MT0028213435.wav,Q2,71.16521700000158,None,71.15945237996057,None,[-0.1825],[0.3325],[1],[0],[0],[5.637607400014531],0.016577680013142526,None,76.79208099999232,None,,,01_04,001,2023-03-20_16h47.03.526,musicemotionlatency,2022.1.3,60.59599799311299,
6,0,6,0,,,../fMRI_stim/music/Q4/MT0030495725.wav,Q3,79.04861289996188,None,79.04245837997878,None,[-0.2525],[-0.315],[1],[0],[0],[3.870819900010247],0.01640658004907891,None,82.90928099997109,None,,,01_04,001,2023-03-20_16h47.03.526,musicemotionlatency,2022.1.3,60.59599799311299,
7,0,7,0,,,../fMRI_stim/music/Q3/MT0028698324.wav,Q3,85.16534869995667,None,85.15964367996203,None,[-0.1825],[-0.17625],[1],[0],[0],[7.302667700045276],0.015226380026433617,None,92.45928019995335,None,,,01_04,001,2023-03-20_16h47.03.526,musicemotionlatency,2022.1.3,60.59599799311299,
8,0,8,0,,,../fMRI_stim/music/Q1/MT0003603772.wav,Q2,94.76595420000376,None,94.70967487995513,None,[-0.1275],[0.08125],[1],[0],[0],[7.307540400011931],0.003157979983370751,None,102.02652710000984,None,,,01_04,001,2023-03-20_16h47.03.526,musicemotionlatency,2022.1.3,60.59599799311299,
9,0,9,0,,,../fMRI_stim/music/Q1/MT0006747288.wav,Q1,104.26612429996021,None,104.26008994996664,None,[0.06125],[0.3325],[1],[0],[0],[7.33653830003459],0.015323649917263538,None,111.59381359996041,None,,,01_04,001,2023-03-20_16h47.03.526,musicemotionlatency,2022.1.3,60.59599799311299,
