trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,starttext.started,starttext.stopped,music.id,Quadrants.id,russellsQuad.started,russellsQuad.stopped,music.started,music.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,fixCross.started,fixCross.stopped,goodbyetext.started,goodbyetext.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,16.00749689299846,None,../fMRI_stim/music/Q2/MT0000456939.wav,Q2,18.477774986007717,None,18.427572523010895,None,[-0.25625],[0.30875],[1],[0],[0],[5.473471942998003],0.0006035050028003752,None,23.91044529399369,None,,,07_s02,001,2023_Feb_06_1601,musicemotionlatency,2021.2.3,119.82936734527547,
1,0,1,0,,,../fMRI_stim/music/Q2/MT0002415184.wav,Q2,26.248647030966822,None,26.2356664250372,None,[-0.085],[0.24875],[1],[0],[0],[6.934274089988321],0.0028816150152124465,None,33.179368196986616,None,,,07_s02,001,2023_Feb_06_1601,musicemotionlatency,2021.2.3,119.82936734527547,
2,0,2,0,,,../fMRI_stim/music/Q2/MT0011975274.wav,Q2,35.5725670660031,None,35.559487509017345,None,[-0.125],[0.19],[1],[0],[0],[4.992554831027519],0.0049829320050776005,None,40.57062887499342,None,,,07_s02,001,2023_Feb_06_1601,musicemotionlatency,2021.2.3,119.82936734527547,
3,0,3,0,,,../fMRI_stim/music/Q3/MT0011308097.wav,Q3,42.99434722797014,None,42.98239599205554,None,[-0.1875],[-0.05875],[1],[0],[0],[8.5529420900275],0.005775768018793315,None,51.54241325898329,None,,,07_s02,001,2023_Feb_06_1601,musicemotionlatency,2021.2.3,119.82936734527547,
4,0,4,0,,,../fMRI_stim/music/Q2/MT0009421924.wav,Q2,53.9336748420028,None,53.91579298302531,None,[-0.2475],[0.30875],[1],[0],[0],[7.320429842045996],0.0017913010087795556,None,61.24681700399378,None,,,07_s02,001,2023_Feb_06_1601,musicemotionlatency,2021.2.3,119.82936734527547,
5,0,5,0,,,../fMRI_stim/music/Q3/MT0028947009.wav,Q2,63.653257002995815,None,63.63396193702938,75.64233053900534,[-0.1725],[0.0325],[1],[0],[0],[15.824126454012003],3.1899078749120235e-05,None,79.47088646597695,None,,,07_s02,001,2023_Feb_06_1601,musicemotionlatency,2021.2.3,119.82936734527547,
6,0,6,0,,,../fMRI_stim/music/Q3/MT0001526386.wav,Q3,81.86126615497051,None,81.84590898902388,None,[-0.22],[-0.0675],[1],[0],[0],[11.5935287939501],0.0019241290865465999,None,93.44973632099573,None,,,07_s02,001,2023_Feb_06_1601,musicemotionlatency,2021.2.3,119.82936734527547,
7,0,7,0,,,../fMRI_stim/music/Q3/MT0008841966.wav,Q3,95.84428792196559,None,95.83031556202332,None,[-0.21],[-0.07],[1],[0],[0],[10.179859708994627],0.005034006026107818,None,106.01819009595783,None,,,07_s02,001,2023_Feb_06_1601,musicemotionlatency,2021.2.3,119.82936734527547,
8,0,8,0,,,../fMRI_stim/music/Q1/MT0002119439.wav,Q1,108.39694401499582,None,108.3836929299985,None,[0.17375],[0.22],[1],[0],[0],[6.666011545981746],0.004485703946556896,None,115.05814705800731,None,,,07_s02,001,2023_Feb_06_1601,musicemotionlatency,2021.2.3,119.82936734527547,
9,0,9,0,,,../fMRI_stim/music/Q1/MT0029874624.wav,Q1,117.48178254498634,None,117.46756121802609,None,[0.085],[0.2175],[1],[0],[0],[7.878085218952037],0.004442235978785902,None,125.35587829595897,None,,,07_s02,001,2023_Feb_06_1601,musicemotionlatency,2021.2.3,119.82936734527547,
