trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,starttext.started,starttext.stopped,music.id,Quadrants.id,russellsQuad.started,russellsQuad.stopped,music.started,music.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,fixCross.started,fixCross.stopped,goodbyetext.started,goodbyetext.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,27.26352992899774,None,../fMRI_stim/music/Q1/MT0011104152.wav,Q1,29.71277069200005,None,29.669831965666766,None,[0.25047619047619046],[0.26857142857142857],[1],[0],[0],[8.028657283997745],0.011453641665866598,None,37.702173537996714,None,,,08_02,001,2023_Mar_27_1121,musicemotionlatency,2021.2.3,None,
1,0,1,0,,,../fMRI_stim/music/Q2/MT0011259078.wav,Q1,40.09374076799577,None,40.08356198232844,52.08951693899871,[0.16952380952380952],[0.2257142857142857],[1],[0],[0],[16.17162203299813],0.013250849326141179,None,56.25838057499641,None,,,08_02,001,2023_Mar_27_1121,musicemotionlatency,2021.2.3,None,
2,0,2,0,,,../fMRI_stim/music/Q1/MT0004122617.wav,Q1,58.81015525099792,None,58.79028900332972,None,[0.22952380952380952],[0.24761904761904763],[1],[0],[0],[11.749154692995944],0.007298385331523605,None,70.54931604599551,None,,,08_02,001,2023_Mar_27_1121,musicemotionlatency,2021.2.3,None,
3,0,3,0,,,../fMRI_stim/music/Q4/MT0004584067.wav,Q3,73.06103904699557,None,73.03588860500167,85.05621036999946,[-0.15428571428571428],[-0.09428571428571429],[1],[0],[0],[14.440714962001948],0.0015974130074027926,None,87.49284165599965,None,,,08_02,001,2023_Mar_27_1121,musicemotionlatency,2021.2.3,None,
4,0,4,0,,,../fMRI_stim/music/Q4/MT0012888230.wav,Q1,90.05338115400082,None,90.03996711899963,102.0633016110005,[0.26095238095238094],[0.13238095238095238],[1],[0],[0],[15.883957823003584],0.013454563006234821,None,105.93064490499819,None,,,08_02,001,2023_Mar_27_1121,musicemotionlatency,2021.2.3,None,
5,0,5,0,,,../fMRI_stim/music/Q1/MT0012331779.wav,Q1,108.44948921999458,None,108.43651312366661,120.44624947999546,[0.09523809523809523],[0.2438095238095238],[1],[0],[0],[12.596368787002575],0.01279865166725358,None,121.03668786399794,None,,,08_02,001,2023_Mar_27_1121,musicemotionlatency,2021.2.3,None,
6,0,6,0,,,../fMRI_stim/music/Q2/MT0034694413.wav,Q2,123.5355615879962,None,123.5140027263294,None,[-0.27714285714285714],[0.29904761904761906],[1],[0],[0],[6.329562803999579],0.004027557333756704,None,129.8568389649954,None,,,08_02,001,2023_Mar_27_1121,musicemotionlatency,2021.2.3,None,
7,0,7,0,,,../fMRI_stim/music/Q4/MT0000235880.wav,Q4,132.44360373399832,None,132.4232153976637,144.44164158000058,[0.19904761904761906],[-0.10380952380952381],[1],[0],[0],[12.464254675993288],0.008655690660816617,None,144.89564416299982,None,,,08_02,001,2023_Mar_27_1121,musicemotionlatency,2021.2.3,None,
8,0,8,0,,,../fMRI_stim/music/Q4/MT0011895175.wav,Q2,147.441766887001,None,147.41286962666734,159.4430466039994,[-0.05619047619047619],[0.2257142857142857],[1],[0],[0],[19.194857215006778],0.0016419356761616655,None,166.62017940499936,None,,,08_02,001,2023_Mar_27_1121,musicemotionlatency,2021.2.3,None,
9,0,9,0,,,../fMRI_stim/music/Q3/MT0003402538.wav,Q3,168.94959158200072,None,168.930844361662,180.9419517130009,[-0.0980952380952381],[-0.06380952380952382],[1],[0],[0],[21.4583005759996],0.0067921596637461334,None,190.40854083799786,None,,,08_02,001,2023_Mar_27_1121,musicemotionlatency,2021.2.3,None,
