trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,starttext.started,starttext.stopped,music.id,Quadrants.id,russellsQuad.started,russellsQuad.stopped,music.started,music.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,fixCross.started,fixCross.stopped,goodbyetext.started,goodbyetext.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,25.305419074982638,None,../fMRI_stim/music/Q3/MT0011398970.wav,Q1,27.767179276997922,None,27.71647261465356,None,[0.1819047619047619],[0.02857142857142857],[1],[0],[0],[9.924060777993873],0.005014784663217142,None,37.65155003298423,None,,,10_01,001,2023_Apr_05_1107,musicemotionlatency,2021.2.3,None,
1,0,1,0,,,../fMRI_stim/music/Q3/MT0026905937.wav,Q1,40.099235784990015,None,40.09005162598914,None,[0.20952380952380953],[0.03238095238095238],[1],[0],[0],[10.399148730008164],0.013153527019312605,None,50.492355623980984,None,,,10_01,001,2023_Apr_05_1107,musicemotionlatency,2021.2.3,None,
2,0,2,0,,,../fMRI_stim/music/Q1/MT0030487841.wav,Q1,52.95925434998935,None,52.941578269982706,None,[0.10571428571428572],[0.29714285714285715],[1],[0],[0],[8.682527728000423],0.005508050991920754,None,61.63413168597617,None,,,10_01,001,2023_Apr_05_1107,musicemotionlatency,2021.2.3,None,
3,0,3,0,,,../fMRI_stim/music/Q4/MT0030494794.wav,Q1,64.10728381798253,None,64.09122227565192,76.1144824459916,[0.09523809523809523],[0.035238095238095235],[1],[0],[0],[12.402317712985678],0.008334849670063704,None,76.50321348698344,None,,,10_01,001,2023_Apr_05_1107,musicemotionlatency,2021.2.3,None,
4,0,4,0,,,../fMRI_stim/music/Q2/MT0012855159.wav,Q2,78.9485811299819,None,78.9274852623193,None,[-0.19333333333333333],[0.29523809523809524],[1],[0],[0],[8.39940155801014],0.0018952743266709149,None,87.34089034999488,None,,,10_01,001,2023_Apr_05_1107,musicemotionlatency,2021.2.3,None,
5,0,5,0,,,../fMRI_stim/music/Q1/MT0009213083.wav,Q1,89.83165506098885,None,89.81542555833197,None,[0.2523809523809524],[0.22095238095238096],[1],[0],[0],[12.009998160006944],0.008394312346354127,None,101.83414401600021,None,,,10_01,001,2023_Apr_05_1107,musicemotionlatency,2021.2.3,None,
6,0,6,0,,,../fMRI_stim/music/Q4/MT0015026293.wav,Q1,104.33166276899283,None,104.30475932932653,None,[0.2704761904761905],[0.06095238095238095],[1],[0],[0],[8.902909861993976],0.002908041322370991,None,113.22108738697716,None,,,10_01,001,2023_Apr_05_1107,musicemotionlatency,2021.2.3,None,
7,0,7,0,,,../fMRI_stim/music/Q1/MT0013101577.wav,Q1,115.85790638998151,None,115.84277076233604,None,[0.2438095238095238],[0.2885714285714286],[1],[0],[0],[5.106677286996273],0.01254995635827072,None,120.95302567398176,None,,,10_01,001,2023_Apr_05_1107,musicemotionlatency,2021.2.3,None,
8,0,8,0,,,../fMRI_stim/music/Q4/MT0031826774.wav,Q3,123.46318060197518,None,123.44092107500182,None,[-0.040952380952380955],[-0.2523809523809524],[1],[0],[0],[9.879478758986806],0.0022593160101678222,None,133.33394519798458,None,,,10_01,001,2023_Apr_05_1107,musicemotionlatency,2021.2.3,None,
9,0,9,0,,,../fMRI_stim/music/Q2/MT0008346862.wav,Q2,135.7944606759993,None,135.7735967810033,None,[-0.2723809523809524],[0.28],[1],[0],[0],[9.580670110997744],0.003402932023163885,None,145.36746400699485,None,,,10_01,001,2023_Apr_05_1107,musicemotionlatency,2021.2.3,None,
10,0,10,0,,,../fMRI_stim/music/Q2/MT0030160582.wav,Q1,147.90177420599503,None,147.89186064431175,None,[0.10952380952380952],[0.039047619047619046],[1],[0],[0],[10.712032576004276],0.016241709294263273,None,158.60610548898694,None,,,10_01,001,2023_Apr_05_1107,musicemotionlatency,2021.2.3,None,
11,0,11,0,,,../fMRI_stim/music/Q2/MT0012001409.wav,Q1,161.07353450197843,None,161.0520125539799,None,[0.2542857142857143],[0.10666666666666667],[1],[0],[0],[11.515207464020932],0.00426614101161249,None,172.57982022099895,None,,,10_01,001,2023_Apr_05_1107,musicemotionlatency,2021.2.3,None,
12,0,12,0,,,../fMRI_stim/music/Q2/MT0028750297.wav,Q2,175.06795415998204,None,175.0567212403364,None,[-0.26],[0.2876190476190476],[1],[0],[0],[9.187128771009156],0.012943096371600404,None,184.24732580198906,None,,,10_01,001,2023_Apr_05_1107,musicemotionlatency,2021.2.3,None,
13,0,13,0,,,../fMRI_stim/music/Q4/MT0013955066.wav,Q4,186.76223279099213,None,186.74829372464254,198.7698518759862,[0.06380952380952382],[-0.2780952380952381],[1],[0],[0],[13.65906021601404],0.0109657536377199,None,200.41259536199505,None,,,10_01,001,2023_Apr_05_1107,musicemotionlatency,2021.2.3,None,
14,0,14,0,,,../fMRI_stim/music/Q4/MT0010485603.wav,Q4,202.87701032098266,None,202.8528157599969,None,[0.26761904761904765],[-0.19904761904761906],[1],[0],[0],[10.140404770994792],0.004276895022485405,None,213.00515994499438,None,,,10_01,001,2023_Apr_05_1107,musicemotionlatency,2021.2.3,None,
15,0,15,0,,,../fMRI_stim/music/Q3/MT0011836290.wav,Q1,215.5309431689966,None,215.50672432265517,227.52164546999848,[0.05142857142857143],[0.08190476190476191],[1],[0],[0],[13.074793441977818],0.0008538446563761681,None,228.59655580899562,None,,,10_01,001,2023_Apr_05_1107,musicemotionlatency,2021.2.3,None,
16,0,16,0,,,../fMRI_stim/music/Q3/MT0029877658.wav,Q3,231.07812179098255,None,231.06919156931303,243.07568005498615,[-0.06095238095238095],[-0.24095238095238095],[1],[0],[0],[12.733507853001356],0.01490085432305932,None,243.80380229698494,None,,,10_01,001,2023_Apr_05_1107,musicemotionlatency,2021.2.3,None,
17,0,17,0,,,../fMRI_stim/music/Q1/MT0029065626.wav,Q1,246.26165810399107,None,246.23890560197762,258.2578700860031,[0.24571428571428572],[0.08285714285714285],[1],[0],[0],[12.656312695995439],0.0007056620088405907,None,258.912319851981,None,,,10_01,001,2023_Apr_05_1107,musicemotionlatency,2021.2.3,None,
18,0,18,0,,,../fMRI_stim/music/Q4/MT0014134790.wav,Q4,261.4076990329777,None,261.3916485593324,273.4137810909888,[0.06190476190476191],[-0.11333333333333333],[1],[0],[0],[13.384076275018742],0.008092770352959633,None,274.78500532297767,None,,,10_01,001,2023_Apr_05_1107,musicemotionlatency,2021.2.3,None,
19,0,19,0,,,../fMRI_stim/music/Q3/MT0011391187.wav,Q4,277.2436061609769,None,277.2211521500023,None,[0.07047619047619047],[-0.3238095238095238],[1],[0],[0],[10.447918175021186],0.0006607570394407958,None,287.68688008599565,None,,,10_01,001,2023_Apr_05_1107,musicemotionlatency,2021.2.3,None,
20,0,20,0,,,../fMRI_stim/music/Q1/MT0013633209.wav,Q1,290.19394023300265,None,290.18021538399626,302.19782110798405,[0.07428571428571429],[0.19333333333333333],[1],[0],[0],[14.309361905005062],0.011575836018892005,None,304.49426310599665,None,,,10_01,001,2023_Apr_05_1107,musicemotionlatency,2021.2.3,None,
21,0,21,0,,,../fMRI_stim/music/Q1/MT0013235939.wav,Q2,306.9765063049854,None,306.95600723966294,318.980335389002,[-0.26095238095238094],[0.22952380952380952],[1],[0],[0],[12.500571787997615],0.005662173702148721,None,319.46809293099795,None,,,10_01,001,2023_Apr_05_1107,musicemotionlatency,2021.2.3,None,
22,0,22,0,,,../fMRI_stim/music/Q3/MT0007438571.wav,Q1,321.9268958629982,None,321.90644921899656,None,[0.17238095238095238],[0.18857142857142858],[1],[0],[0],[7.954199034982594],0.00480547800543718,None,329.8727804700029,None,,,10_01,001,2023_Apr_05_1107,musicemotionlatency,2021.2.3,None,
23,0,23,0,,,../fMRI_stim/music/Q2/MT0012008752.wav,Q2,332.4228291329928,None,332.393886567334,344.41499859499163,[-0.14095238095238094],[0.30952380952380953],[1],[0],[0],[12.204834656993626],0.0012273783213458955,None,344.61686916899635,None,,,10_01,001,2023_Apr_05_1107,musicemotionlatency,2021.2.3,None,
,,,,,,,,,,,,,,,,,,,,,,346.63535074397805,None,,,,,,,
