trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,starttext.started,starttext.stopped,music.id,Quadrants.id,russellsQuad.started,russellsQuad.stopped,music.started,music.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,fixCross.started,fixCross.stopped,goodbyetext.started,goodbyetext.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,18.97632865200285,None,../fMRI_stim/music/Q4/MT0033391280.wav,Q4,21.486340889998246,None,21.38640522867596,None,[0.05047619047619047],[-0.319047619047619],[1],[0],[0],[7.833852342999307],0.0026510656462050974,None,29.23629455899936,None,,,10_04,001,2023_Apr_05_1124,musicemotionlatency,2021.2.3,None,
1,0,1,0,,,../fMRI_stim/music/Q3/MT0000044741.wav,Q4,31.808942592004314,None,31.78766315266063,None,[0.2342857142857143],[-0.14952380952380953],[1],[0],[0],[5.6852703480108175],0.003761864674743265,None,37.48492375900969,None,,,10_04,001,2023_Apr_05_1124,musicemotionlatency,2021.2.3,None,
2,0,2,0,,,../fMRI_stim/music/Q2/MT0010490157.wav,Q2,39.98346953000873,None,39.96347691633467,None,[-0.19904761904761906],[0.06190476190476191],[1],[0],[0],[10.845595641003456],0.003609642357332632,None,50.82181406300515,None,,,10_04,001,2023_Apr_05_1124,musicemotionlatency,2021.2.3,None,
3,0,3,0,,,../fMRI_stim/music/Q3/MT0003530174.wav,Q4,53.31239792398992,None,53.30367220332458,None,[0.14],[-0.09619047619047619],[1],[0],[0],[10.679546998988371],0.015603204315993935,None,63.98409959700075,None,,,10_04,001,2023_Apr_05_1124,musicemotionlatency,2021.2.3,None,
4,0,4,0,,,../fMRI_stim/music/Q2/MT0004958762.wav,Q1,66.44600653799716,None,66.4373942916495,None,[0.14095238095238094],[0.1657142857142857],[1],[0],[0],[9.182198079972295],0.01566775466199033,None,75.61949188800645,None,,,10_04,001,2023_Apr_05_1124,musicemotionlatency,2021.2.3,None,
5,0,5,0,,,../fMRI_stim/music/Q1/MT0000082187.wav,Q4,78.0955196750001,None,78.06661297699902,None,[0.21904761904761905],[-0.13047619047619047],[1],[0],[0],[6.451032554003177],0.0014740050246473402,None,84.53292493600748,None,,,10_04,001,2023_Apr_05_1124,musicemotionlatency,2021.2.3,None,
6,0,6,0,,,../fMRI_stim/music/Q4/MT0013486354.wav,Q4,87.06745018600486,None,87.05670245132254,99.06630856098491,[0.1761904761904762],[-0.2619047619047619],[1],[0],[0],[12.22326105600223],0.014432007301365957,None,99.28155382099794,None,,,10_04,001,2023_Apr_05_1124,musicemotionlatency,2021.2.3,None,
7,0,7,0,,,../fMRI_stim/music/Q2/MT0000011975.wav,Q2,101.72977109899512,None,101.72024370999425,113.74403186500422,[-0.18666666666666668],[0.18095238095238095],[1],[0],[0],[12.374822882993612],0.014821954013314098,None,114.0982556869858,None,,,10_04,001,2023_Apr_05_1124,musicemotionlatency,2021.2.3,None,
8,0,8,0,,,../fMRI_stim/music/Q3/MT0030422114.wav,Q1,116.56460387900006,None,116.55761993666917,None,[0.08095238095238096],[0.09428571428571429],[1],[0],[0],[7.7398161590099335],1.644901931285858e-05,None,124.2970226680045,None,,,10_04,001,2023_Apr_05_1124,musicemotionlatency,2021.2.3,None,
9,0,9,0,,,../fMRI_stim/music/Q3/MT0009437817.wav,Q4,126.78845735100913,None,126.75886723465325,None,[0.3019047619047619],[-0.19333333333333333],[1],[0],[0],[6.073246971005574],0.00018350966274738312,None,132.84843092298252,None,,,10_04,001,2023_Apr_05_1124,musicemotionlatency,2021.2.3,None,
10,0,10,0,,,../fMRI_stim/music/Q2/MT0032957418.wav,Q1,135.35046844300814,None,135.3396895820042,None,[0.20666666666666667],[0.06095238095238095],[1],[0],[0],[8.975899870012654],0.014540344011038542,None,144.31713880700408,None,,,10_04,001,2023_Apr_05_1124,musicemotionlatency,2021.2.3,None,
11,0,11,0,,,../fMRI_stim/music/Q3/MT0029861029.wav,Q4,146.76925178201054,None,146.74975399898833,158.77699928099173,[0.07523809523809524],[-0.2866666666666667],[1],[0],[0],[13.396605180983897],0.005259777972241864,None,160.1568503580056,None,,,10_04,001,2023_Apr_05_1124,musicemotionlatency,2021.2.3,None,
12,0,12,0,,,../fMRI_stim/music/Q1/MT0012742379.wav,Q1,162.60039934099768,None,162.58431277931862,None,[0.09523809523809523],[0.1438095238095238],[1],[0],[0],[11.36119354100083],0.006536102300742641,None,173.9546862670104,None,,,10_04,001,2023_Apr_05_1124,musicemotionlatency,2021.2.3,None,
13,0,13,0,,,../fMRI_stim/music/Q4/MT0004867564.wav,Q4,176.3976316569897,None,176.3875858679996,None,[0.06285714285714286],[-0.15904761904761905],[1],[0],[0],[9.124010164989159],0.014002965996041894,None,185.51752180798212,None,,,10_04,001,2023_Apr_05_1124,musicemotionlatency,2021.2.3,None,
14,0,14,0,,,../fMRI_stim/music/Q1/MT0004447226.wav,Q4,187.9856169699924,None,187.96967618865116,None,[0.20857142857142857],[-0.16476190476190475],[1],[0],[0],[9.617302473983727],0.008177609677659348,None,197.59473212598823,None,,,10_04,001,2023_Apr_05_1124,musicemotionlatency,2021.2.3,None,
15,0,15,0,,,../fMRI_stim/music/Q4/MT0000092267.wav,Q1,200.06659465300618,None,200.0569106326652,None,[0.2542857142857143],[0.19523809523809524],[1],[0],[0],[6.4530926769948564],0.0139439326885622,None,206.53666577898548,None,,,10_04,001,2023_Apr_05_1124,musicemotionlatency,2021.2.3,None,
16,0,16,0,,,../fMRI_stim/music/Q1/MT0030484925.wav,Q1,209.00459199299803,None,208.99286824967518,221.00404821999837,[0.16285714285714287],[0.1419047619047619],[1],[0],[0],[12.395988837990444],0.013282805681228638,None,221.39099142199848,None,,,10_04,001,2023_Apr_05_1124,musicemotionlatency,2021.2.3,None,
17,0,17,0,,,../fMRI_stim/music/Q1/MT0032235381.wav,Q1,223.83810840698425,None,223.81641718033546,None,[0.17904761904761904],[0.2704761904761905],[1],[0],[0],[7.346658544993261],0.0005769003473687917,None,231.17920658999356,None,,,10_04,001,2023_Apr_05_1124,musicemotionlatency,2021.2.3,None,
18,0,18,0,,,../fMRI_stim/music/Q2/MT0011959819.wav,Q2,233.6561317209853,None,233.6438344146513,None,[-0.2714285714285714],[0.3352380952380952],[1],[0],[0],[7.679915493994486],0.013442706665955484,None,241.32803499000147,None,,,10_04,001,2023_Apr_05_1124,musicemotionlatency,2021.2.3,None,
19,0,19,0,,,../fMRI_stim/music/Q4/MT0012151268.wav,Q4,243.80336262000492,None,243.7865727586536,None,[0.1819047619047619],[-0.26857142857142857],[1],[0],[0],[10.859638914000243],0.008164648665115237,None,254.6537679109897,None,,,10_04,001,2023_Apr_05_1124,musicemotionlatency,2021.2.3,None,
