trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,starttext.started,starttext.stopped,music.id,Quadrants.id,russellsQuad.started,russellsQuad.stopped,music.started,music.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,fixCross.started,fixCross.stopped,goodbyetext.started,goodbyetext.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,15.673240100033581,None,../fMRI_stim/music/Q1/MT0000249842.wav,Q1,18.387732200033497,None,18.369174890127034,None,[0.0787037],[0.27592593],[1],[0],[0],[6.095580400025938],0.012918290100060403,None,24.467659200017806,None,,,14_02,001,2023-04-03_16h38.16.427,musicemotionlatency,2022.1.3,60.00146403290011,
1,0,1,0,,,../fMRI_stim/music/Q2/MT0000133200.wav,Q1,26.75248530000681,None,26.73440909003839,None,[0.25092593],[0.2712963],[1],[0],[0],[7.26998470001854],0.00043918995652347803,None,34.01930440001888,None,,,14_02,001,2023-04-03_16h38.16.427,musicemotionlatency,2022.1.3,60.00146403290011,
2,0,2,0,,,../fMRI_stim/music/Q3/MT0001523435.wav,Q4,36.252833000035025,None,36.23611118003027,None,[0.073148146],[-0.2212963],[1],[0],[0],[5.388218400010373],0.003650680067948997,None,41.636561700026505,None,,,14_02,001,2023-04-03_16h38.16.427,musicemotionlatency,2022.1.3,60.00146403290011,
3,0,3,0,,,../fMRI_stim/music/Q2/MT0005951020.wav,Q1,43.86982810002519,None,43.8532742800191,55.85337259998778,[0.26944444],[0.06388889],[1],[0],[0],[12.725978199974634],0.007901380071416497,None,56.58676470001228,None,,,14_02,001,2023-04-03_16h38.16.427,musicemotionlatency,2022.1.3,60.00146403290011,
4,0,4,0,,,../fMRI_stim/music/Q3/MT0006171393.wav,Q4,58.820217000029515,None,58.80359658004017,70.80400960001862,[0.06388889],[-0.27685186],[1],[0],[0],[13.613982799986843],0.012817480077501386,None,72.4207071000128,None,,,14_02,001,2023-04-03_16h38.16.427,musicemotionlatency,2022.1.3,60.00146403290011,
5,0,5,0,,,../fMRI_stim/music/Q3/MT0005270263.wav,Q1,74.65408780000871,None,74.63744288006565,None,[0.08888889],[0.23518519],[1],[0],[0],[7.274418500019237],0.006813980115111917,None,81.92063270002836,None,,,14_02,001,2023-04-03_16h38.16.427,musicemotionlatency,2022.1.3,60.00146403290011,
6,0,6,0,,,../fMRI_stim/music/Q1/MT0008222676.wav,Q1,84.15401739999652,None,84.13738818005659,None,[0.18425927],[0.2712963],[1],[0],[0],[5.353228899999522],0.0024299800861626863,None,89.50415170000633,None,,,14_02,001,2023-04-03_16h38.16.427,musicemotionlatency,2022.1.3,60.00146403290011,
7,0,7,0,,,../fMRI_stim/music/Q2/MT0001333258.wav,Q1,91.73758930002805,None,91.73763765004696,103.73787130002165,[0.074074075],[0.21111111],[1],[0],[0],[12.517178300011437],0.01615785004105419,None,104.25459530000808,None,,,14_02,001,2023-04-03_16h38.16.427,musicemotionlatency,2022.1.3,60.00146403290011,
8,0,8,0,,,../fMRI_stim/music/Q4/MT0007556029.wav,Q4,106.48806060000788,None,106.48810955003137,None,[0.08240741],[-0.23888889],[1],[0],[0],[9.182824399962556],0.014468849985860288,None,115.6719133000006,None,,,14_02,001,2023-04-03_16h38.16.427,musicemotionlatency,2022.1.3,60.00146403290011,
9,0,9,0,,,../fMRI_stim/music/Q4/MT0000550961.wav,Q4,117.90513740002643,None,117.88854728003498,129.88878089998616,[0.25185186],[-0.15648147],[1],[0],[0],[12.806812499999069],0.005766579997725785,None,130.70559510000749,None,,,14_02,001,2023-04-03_16h38.16.427,musicemotionlatency,2022.1.3,60.00146403290011,
