trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,starttext.started,starttext.stopped,music.id,russellsQuad.started,music.started,mouse.started,music.stopped,Quadrants.id,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,fixCross.started,fixCross.stopped,goodbyetext.started,goodbyetext.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,12.191316300013568,15.093107199994847,../fMRI_stim/music/Q4/MT0030494794.wav,15.093107199994847,15.0917292998638,0.8944826000370085,27.107293599983677,Q4,[0.2759259259259259],[-0.33055555555555555],[1],[0],[0],[14.881377000012435],29.973980300012045,32.22514310001861,,,15_01,001,2023-04-05_15h40.09.610,musicemotionlatency,2022.2.5,59.75796827747056,
1,0,1,0,,,../fMRI_stim/music/Q2/MT0012001409.wav,32.22514310001861,32.207469299959484,0.23758010001620278,,Q1,[0.16111111111111112],[0.18518518518518517],[1],[0],[0],[11.512672499986365],43.72475639998447,46.00816010002745,,,15_01,001,2023-04-05_15h40.09.610,musicemotionlatency,2022.2.5,59.75796827747056,
2,0,2,0,,,../fMRI_stim/music/Q1/MT0029065626.wav,46.00816010002745,46.00830497993156,0.2883729999884963,58.00849769997876,Q1,[0.1425925925925926],[0.16203703703703703],[1],[0],[0],[13.011574400006793],59.02521140000317,61.275936499994714,,,15_01,001,2023-04-05_15h40.09.610,musicemotionlatency,2022.2.5,59.75796827747056,
3,0,3,0,,,../fMRI_stim/music/Q4/MT0014584319.wav,61.275936499994714,61.25870309997117,0.24495770002249628,73.25891219999176,Q4,[0.03796296296296296],[-0.3314814814814815],[1],[0],[0],[17.221484899986535],78.49238280003192,80.70916720002424,,,15_01,001,2023-04-05_15h40.09.610,musicemotionlatency,2022.2.5,59.75796827747056,
4,0,4,0,,,../fMRI_stim/music/Q4/MT0007232134.wav,80.70916720002424,80.69252197996248,0.21021679998375475,92.69278670003405,Q3,[-0.29074074074074074],[-0.3351851851851852],[1],[0],[0],[19.07249300001422],99.77633279998554,102.02704419998918,,,15_01,001,2023-04-05_15h40.09.610,musicemotionlatency,2022.2.5,59.75796827747056,
5,0,5,0,,,../fMRI_stim/music/Q2/MT0012658636.wav,102.02704419998918,102.0104739999515,0.23777169996174052,114.01002779998817,Q1,[0.287962962962963],[0.32407407407407407],[1],[0],[0],[12.728284499957226],114.74344270001166,116.99416150001343,,,15_01,001,2023-04-05_15h40.09.610,musicemotionlatency,2022.2.5,59.75796827747056,
6,0,6,0,,,../fMRI_stim/music/Q4/MT0001676671.wav,116.99416150001343,116.97687079996103,0.23617320001358166,128.97711259999778,Q4,[0.1527777777777778],[-0.17037037037037037],[1],[0],[0],[17.180564400041476],134.1606191000319,136.41132660000585,,,15_01,001,2023-04-05_15h40.09.610,musicemotionlatency,2022.2.5,59.75796827747056,
7,0,7,0,,,../fMRI_stim/music/Q4/MT0013955066.wav,136.41132660000585,136.39408919995185,0.23436150001361966,148.39431850000983,Q4,[0.016666666666666666],[-0.2490740740740741],[1],[0],[0],[13.632399299996905],150.028365199978,152.26177370001096,,,15_01,001,2023-04-05_15h40.09.610,musicemotionlatency,2022.2.5,59.75796827747056,
8,0,8,0,,,../fMRI_stim/music/Q3/MT0011391187.wav,152.26177370001096,152.2451857399661,0.21684129995992407,164.2447339000064,Q4,[0.025],[-0.33055555555555555],[1],[0],[0],[29.2321382999653],181.47857809998095,183.72867039998528,,,15_01,001,2023-04-05_15h40.09.610,musicemotionlatency,2022.2.5,59.75796827747056,
9,0,9,0,,,../fMRI_stim/music/Q3/MT0026905937.wav,183.72867039998528,183.71202319994336,0.24108579999301583,195.71240830002353,Q3,[-0.02962962962962963],[-0.33240740740740743],[1],[0],[0],[17.609100300003774],201.32907129998785,203.57987509999657,,,15_01,001,2023-04-05_15h40.09.610,musicemotionlatency,2022.2.5,59.75796827747056,
