trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,starttext.started,music.id,russellsQuad.started,music.started,mouse.started,music.stopped,Quadrants.id,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,fixCross.started,fixCross.stopped,goodbyetext.started,goodbyetext.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,92.90448989998549,../fMRI_stim/music/Q3/MT0007338724.wav,95.61722640000517,95.59890354007948,0.7849486999912187,107.59852429997409,Q3,[-0.05092592592592592],[-0.07685185185185185],[1],[0],[0],[16.025489799969364],111.63206979999086,113.8653397000162,,,15_02,001,2023-04-05_15h48.51.351,musicemotionlatency,2022.2.5,59.97936709422587,
1,0,1,0,,../fMRI_stim/music/Q3/MT0000255724.wav,113.8653397000162,113.84869368000655,0.22708589996909723,125.84900159999961,Q3,[-0.10092592592592593],[-0.33796296296296297],[1],[0],[0],[12.188635399972554],126.0490130999824,128.31644319999032,,,15_02,001,2023-04-05_15h48.51.351,musicemotionlatency,2022.2.5,59.97936709422587,
2,0,2,0,,../fMRI_stim/music/Q1/MT0002538335.wav,128.31644319999032,128.29907382001403,0.2592680999659933,,Q1,[0.20277777777777778],[0.1712962962962963],[1],[0],[0],[9.989859400026035],138.29934369999683,140.55010980000952,,,15_02,001,2023-04-05_15h48.51.351,musicemotionlatency,2022.2.5,59.97936709422587,
3,0,3,0,,../fMRI_stim/music/Q1/MT0000392975.wav,140.55010980000952,140.5327524000313,0.23245259997202083,152.53309129999252,Q4,[0.28703703703703703],[-0.1962962962962963],[1],[0],[0],[12.300904999952763],152.83307529997546,155.08380149997538,,,15_02,001,2023-04-05_15h48.51.351,musicemotionlatency,2022.2.5,59.97936709422587,
4,0,4,0,,../fMRI_stim/music/Q2/MT0007926918.wav,155.08380149997538,155.06652310001664,0.24271789996419102,167.06688009999925,Q1,[0.18888888888888888],[0.21851851851851853],[1],[0],[0],[13.590300299983937],168.66684179997537,170.9002451999695,,,15_02,001,2023-04-05_15h48.51.351,musicemotionlatency,2022.2.5,59.97936709422587,
5,0,5,0,,../fMRI_stim/music/Q2/MT0000377411.wav,170.9002451999695,170.9002945999964,0.23818590003065765,,Q1,[0.008333333333333333],[0.2759259259259259],[1],[0],[0],[7.894696399976965],178.8004515999928,181.05117439996684,,,15_02,001,2023-04-05_15h48.51.351,musicemotionlatency,2022.2.5,59.97936709422587,
6,0,6,0,,../fMRI_stim/music/Q4/MT0009741521.wav,181.05117439996684,181.0338475999888,0.24408980004955083,,Q4,[0.28703703703703703],[-0.3388888888888889],[1],[0],[0],[11.972519500006456],193.01748869998846,195.26826929999515,,,15_02,001,2023-04-05_15h48.51.351,musicemotionlatency,2022.2.5,59.97936709422587,
7,0,7,0,,../fMRI_stim/music/Q3/MT0002006203.wav,195.26826929999515,195.2342938799877,0.2298146999673918,207.2345357000013,Q3,[-0.14814814814814814],[-0.35],[1],[0],[0],[12.753087900055107],208.00122979999287,210.23531089996686,,,15_02,001,2023-04-05_15h48.51.351,musicemotionlatency,2022.2.5,59.97936709422587,
8,0,8,0,,../fMRI_stim/music/Q3/MT0003396470.wav,210.23531089996686,210.21798778004015,0.22606769995763898,222.2182781000156,Q2,[-0.14907407407407408],[0.1648148148148148],[1],[0],[0],[12.539766200003214],222.76828349998686,225.01905800000532,,,15_02,001,2023-04-05_15h48.51.351,musicemotionlatency,2022.2.5,59.97936709422587,
9,0,9,0,,../fMRI_stim/music/Q2/MT0006484633.wav,225.01905800000532,225.00180630001705,0.24251470004674047,,Q1,[0.020370370370370372],[0.1925925925925926],[1],[0],[0],[8.790324300003704],233.80192150000948,236.05266029998893,,,15_02,001,2023-04-05_15h48.51.351,musicemotionlatency,2022.2.5,59.97936709422587,
10,0,10,0,,../fMRI_stim/music/Q4/MT0006164654.wav,236.05266029998893,236.0353393999976,0.24033719999715686,,Q4,[0.3074074074074074],[-0.0824074074074074],[1],[0],[0],[8.859150099975523],244.90221939998446,247.15329519996885,,,15_02,001,2023-04-05_15h48.51.351,musicemotionlatency,2022.2.5,59.97936709422587,
11,0,11,0,,../fMRI_stim/music/Q1/MT0005737276.wav,247.15329519996885,247.13562810001895,0.23710300005041063,,Q1,[0.30833333333333335],[0.06759259259259259],[1],[0],[0],[9.39567050000187],256.5358720999793,258.78663529996993,,,15_02,001,2023-04-05_15h48.51.351,musicemotionlatency,2022.2.5,59.97936709422587,
