trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,starttext.started,music.id,russellsQuad.started,music.started,mouse.started,Quadrants.id,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,fixCross.started,fixCross.stopped,music.stopped,goodbyetext.started,goodbyetext.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,11.682779200025834,../fMRI_stim/music/Q1/MT0002262181.wav,14.395589100022335,14.37736853005481,0.7888671000255272,Q1,[0.13518518518518519],[0.06666666666666667],[1],[0],[0],[10.187072200002149],24.577209300012328,26.81124540005112,,,,15_03,001,2023-04-05_15h54.38.504,musicemotionlatency,2022.2.5,60.00099601014786,
1,0,1,0,,../fMRI_stim/music/Q1/MT0007147603.wav,26.81124540005112,26.793792960059363,0.22291209996910766,Q4,[0.15648148148148147],[-0.1537037037037037],[1],[0],[0],[6.59317030000966],33.394058700010646,35.66146570001729,,,,15_03,001,2023-04-05_15h54.38.504,musicemotionlatency,2022.2.5,60.00099601014786,
2,0,2,0,,../fMRI_stim/music/Q3/MT0001871732.wav,35.66146570001729,35.6273805500532,0.2460449999780394,Q3,[-0.025],[-0.17685185185185184],[1],[0],[0],[11.753713899990544],47.394434300018474,49.6285130000324,,,,15_03,001,2023-04-05_15h54.38.504,musicemotionlatency,2022.2.5,60.00099601014786,
3,0,3,0,,../fMRI_stim/music/Q2/MT0004558461.wav,49.6285130000324,49.611086360004265,0.2288702999940142,Q2,[-0.1111111111111111],[0.17962962962962964],[1],[0],[0],[12.470303200010676],62.094847700034734,64.39559780003037,61.611540400015656,,,15_03,001,2023-04-05_15h54.38.504,musicemotionlatency,2022.2.5,60.00099601014786,
4,0,4,0,,../fMRI_stim/music/Q4/MT0003280103.wav,64.39559780003037,64.37816492002457,0.2832782000186853,Q3,[-0.15925925925925927],[-0.1962962962962963],[1],[0],[0],[8.91592410003068],73.29512040002737,75.56257520004874,,,,15_03,001,2023-04-05_15h54.38.504,musicemotionlatency,2022.2.5,60.00099601014786,
5,0,5,0,,../fMRI_stim/music/Q1/MT0009378909.wav,75.56257520004874,75.54515214002458,0.2587606000015512,Q4,[0.15185185185185185],[-0.17592592592592593],[1],[0],[0],[7.090751499985345],82.64543890004279,84.94550160004292,,,,15_03,001,2023-04-05_15h54.38.504,musicemotionlatency,2022.2.5,60.00099601014786,
6,0,6,0,,../fMRI_stim/music/Q2/MT0004068560.wav,84.94550160004292,84.92872172006173,0.2949322999920696,Q1,[0.028703703703703703],[0.29259259259259257],[1],[0],[0],[9.72125890001189],94.66237050003838,96.91312880004989,,,,15_03,001,2023-04-05_15h54.38.504,musicemotionlatency,2022.2.5,60.00099601014786,
7,0,7,0,,../fMRI_stim/music/Q1/MT0003390733.wav,96.91312880004989,96.8957229500229,0.23679190000984818,Q1,[0.15648148148148147],[0.08148148148148149],[1],[0],[0],[14.196553599962499],111.09615440003108,113.34690630005207,108.89612650003983,,,15_03,001,2023-04-05_15h54.38.504,musicemotionlatency,2022.2.5,60.00099601014786,
8,0,8,0,,../fMRI_stim/music/Q4/MT0004089549.wav,113.34690630005207,113.32948975006002,0.23852919996716082,Q4,[0.06018518518518518],[-0.32314814814814813],[1],[0],[0],[12.593931099982],125.92988300003344,128.18063529999927,125.3298701000167,,,15_03,001,2023-04-05_15h54.38.504,musicemotionlatency,2022.2.5,60.00099601014786,
9,0,9,0,,../fMRI_stim/music/Q4/MT0007107079.wav,128.18063529999927,128.16320005003945,0.23522929998580366,Q3,[-0.17314814814814813],[-0.3351851851851852],[1],[0],[0],[13.097476999973878],141.2636424000375,143.53138860000763,140.16355990001466,,,15_03,001,2023-04-05_15h54.38.504,musicemotionlatency,2022.2.5,60.00099601014786,
10,0,10,0,,../fMRI_stim/music/Q3/MT0007477802.wav,143.53138860000763,143.51361634006025,0.25109039997914806,Q3,[-0.2861111111111111],[-0.30462962962962964],[1],[0],[0],[8.832121699990239],152.34726640000008,154.59801750001498,,,,15_03,001,2023-04-05_15h54.38.504,musicemotionlatency,2022.2.5,60.00099601014786,
11,0,11,0,,../fMRI_stim/music/Q3/MT0002915967.wav,154.59801750001498,154.5805805500422,0.24553000001469627,Q4,[0.026851851851851852],[-0.19537037037037036],[1],[0],[0],[14.887081400025636],169.48106090002693,171.7317960000364,166.58099620003486,,,15_03,001,2023-04-05_15h54.38.504,musicemotionlatency,2022.2.5,60.00099601014786,
12,0,12,0,,../fMRI_stim/music/Q1/MT0003794106.wav,171.7317960000364,171.71437525001238,0.23691510001663119,Q1,[0.07685185185185185],[0.05462962962962963],[1],[0],[0],[14.162709999945946],185.88150450005196,188.1322643000167,183.71476790000452,,,15_03,001,2023-04-05_15h54.38.504,musicemotionlatency,2022.2.5,60.00099601014786,
13,0,13,0,,../fMRI_stim/music/Q4/MT0010665248.wav,188.1322643000167,188.1148253500287,0.23434480000287294,Q3,[-0.05462962962962963],[-0.3351851851851852],[1],[0],[0],[12.648980199999642],200.76529730000766,203.01596700004302,200.1152033000253,,,15_03,001,2023-04-05_15h54.38.504,musicemotionlatency,2022.2.5,60.00099601014786,
