trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,starttext.started,starttext.stopped,music.id,russellsQuad.started,music.started,mouse.started,music.stopped,Quadrants.id,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,fixCross.started,fixCross.stopped,goodbyetext.started,goodbyetext.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,14.094353099993896,16.879512399958912,../fMRI_stim/music/Q4/MT0028066739.wav,16.879512399958912,16.861198369943303,0.774130999983754,28.860302299959585,Q4,[0.1537037037037037],[-0.3472222222222222],[1],[0],[0],[16.73485409998102],33.610483399999794,35.86164119996829,,,15_04,001,2023-04-05_16h00.50.710,musicemotionlatency,2022.2.5,59.994552481091866,
1,0,1,0,,,../fMRI_stim/music/Q1/MT0028617657.wav,35.86164119996829,35.843871549965115,0.23720250005135313,47.84457909996854,Q4,[0.2833333333333333],[-0.044444444444444446],[1],[0],[0],[15.379248199984431],51.22799619997386,53.49539930000901,,,15_04,001,2023-04-05_16h00.50.710,musicemotionlatency,2022.2.5,59.994552481091866,
2,0,2,0,,,../fMRI_stim/music/Q1/MT0028627699.wav,53.49539930000901,53.478090759995396,0.2562518999911845,,Q4,[0.275],[-0.32685185185185184],[1],[0],[0],[9.059742700017523],62.54498449998209,64.81240779999644,,,15_04,001,2023-04-05_16h00.50.710,musicemotionlatency,2022.2.5,59.994552481091866,
3,0,3,0,,,../fMRI_stim/music/Q4/MT0030442334.wav,64.81240779999644,64.79505115996581,0.25828660000115633,76.79536399996141,Q4,[0.04537037037037037],[-0.3351851851851852],[1],[0],[0],[15.141818700009026],79.94543869997142,82.24618749995716,,,15_04,001,2023-04-05_16h00.50.710,musicemotionlatency,2022.2.5,59.994552481091866,
4,0,4,0,,,../fMRI_stim/music/Q4/MT0030369896.wav,82.24618749995716,82.22953507999192,0.28982589999213815,94.22917889995733,Q3,[-0.28055555555555556],[-0.3333333333333333],[1],[0],[0],[13.459395000012591],95.69587479997426,97.94663089996902,,,15_04,001,2023-04-05_16h00.50.710,musicemotionlatency,2022.2.5,59.994552481091866,
5,0,5,0,,,../fMRI_stim/music/Q3/MT0014046859.wav,97.94663089996902,97.92930185000296,0.2405049999943003,109.92960360000143,Q3,[-0.16296296296296298],[-0.08796296296296297],[1],[0],[0],[13.992263299995102],111.92965169996023,114.18039240001235,,,15_04,001,2023-04-05_16h00.50.710,musicemotionlatency,2022.2.5,59.994552481091866,
6,0,6,0,,,../fMRI_stim/music/Q3/MT0026330298.wav,114.18039240001235,114.16307484995923,0.2323455999721773,126.16348069999367,Q3,[-0.08888888888888889],[-0.18333333333333332],[1],[0],[0],[18.017224699957296],132.18021329998737,134.39692869997816,,,15_04,001,2023-04-05_16h00.50.710,musicemotionlatency,2022.2.5,59.994552481091866,
7,0,7,0,,,../fMRI_stim/music/Q3/MT0015715008.wav,134.39692869997816,134.3969449399854,0.21808679995592684,146.39724640001077,Q2,[-0.15833333333333333],[0.15925925925925927],[1],[0],[0],[12.515280699997675],146.91393589996733,149.16467769996962,,,15_04,001,2023-04-05_16h00.50.710,musicemotionlatency,2022.2.5,59.994552481091866,
8,0,8,0,,,../fMRI_stim/music/Q1/MT0018450519.wav,149.16467769996962,149.1473337500065,0.23278910003136843,161.14764739997918,Q2,[-0.049074074074074076],[0.05555555555555555],[1],[0],[0],[17.933253499970306],167.0811419999809,169.34855319996132,,,15_04,001,2023-04-05_16h00.50.710,musicemotionlatency,2022.2.5,59.994552481091866,
9,0,9,0,,,../fMRI_stim/music/Q2/MT0012116237.wav,169.34855319996132,169.33122896000276,0.26050460000988096,181.33152629999677,Q1,[0.010185185185185186],[0.2916666666666667],[1],[0],[0],[14.872401800006628],184.2149735999992,186.46500369999558,,,15_04,001,2023-04-05_16h00.50.710,musicemotionlatency,2022.2.5,59.994552481091866,
