trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,starttext.started,starttext.stopped,music.id,Quadrants.id,russellsQuad.started,russellsQuad.stopped,music.started,music.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,fixCross.started,fixCross.stopped,goodbyetext.started,goodbyetext.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,26.32217267699889,None,../fMRI_stim/music/Q2/MT0004882280.wav,Q1,28.93063745299878,None,28.873042753970367,None,[0.15714285714285714],[0.15428571428571428],[1],[0],[0],[11.524418417000561],0.014463410960161127,None,40.40365527798713,None,,,18,1,2023_Oct_18_1813,musicemotionlatency,2021.2.3,None,
1,0,1,0,,,../fMRI_stim/music/Q4/MT0011895175.wav,Q3,42.90777449199231,None,42.89385768177162,54.9108937389974,[-0.05333333333333334],[-0.07047619047619047],[1],[0],[0],[12.907528580995859],0.010060561791760847,None,55.82927026700054,None,,,18,1,2023_Oct_18_1813,musicemotionlatency,2021.2.3,None,
2,0,2,0,,,../fMRI_stim/music/Q4/MT0005091539.wav,Q4,58.27501649699116,None,58.25372886958357,None,[0.10857142857142857],[-0.02666666666666667],[1],[0],[0],[11.033509215005324],0.0035834365990012884,None,69.30150868798955,None,,,18,1,2023_Oct_18_1813,musicemotionlatency,2021.2.3,None,
3,0,3,0,,,../fMRI_stim/music/Q3/MT0011032905.wav,Q4,71.7937278909958,None,71.77545722397917,83.79163462099677,[0.0838095238095238],[-0.13428571428571429],[1],[0],[0],[12.75794621699606],0.006614051992073655,None,84.54448603698984,None,,,18,1,2023_Oct_18_1813,musicemotionlatency,2021.2.3,None,
4,0,4,0,,,../fMRI_stim/music/Q1/MT0010489498.wav,Q1,87.08270962699316,None,87.06328042036911,None,[0.2123809523809524],[0.05047619047619047],[1],[0],[0],[10.32085792500584],0.005836836367961951,None,97.39566930499859,None,,,18,1,2023_Oct_18_1813,musicemotionlatency,2021.2.3,None,
5,0,5,0,,,../fMRI_stim/music/Q4/MT0013177702.wav,Q4,100.01594888899126,None,100.00167443036334,None,[0.05523809523809524],[-0.1980952380952381],[1],[0],[0],[7.922069109990844],0.01085672435874585,None,107.93002307399001,None,,,18,1,2023_Oct_18_1813,musicemotionlatency,2021.2.3,None,
6,0,6,0,,,../fMRI_stim/music/Q3/MT0008979040.wav,Q4,110.46221436599444,None,110.43769605658017,122.46453777699207,[0.0419047619047619],[-0.08476190476190476],[1],[0],[0],[12.502702191006392],0.0011846905836137012,None,122.95791527199617,None,,,18,1,2023_Oct_18_1813,musicemotionlatency,2021.2.3,None,
7,0,7,0,,,../fMRI_stim/music/Q2/MT0009601423.wav,Q1,125.47000961400045,None,125.44776966377394,None,[0.025714285714285714],[0.1361904761904762],[1],[0],[0],[12.009065848993487],0.0030185547802830115,None,137.4706443259929,None,,,18,1,2023_Oct_18_1813,musicemotionlatency,2021.2.3,None,
8,0,8,0,,,../fMRI_stim/music/Q1/MT0004711079.wav,Q1,139.97557366799447,None,139.95927474477213,None,[0.18476190476190477],[0.05238095238095238],[1],[0],[0],[10.780587514993385],0.008712204784387723,None,150.74980680498993,None,,,18,1,2023_Oct_18_1813,musicemotionlatency,2021.2.3,None,
9,0,9,0,,,../fMRI_stim/music/Q3/MT0004978135.wav,Q4,153.2645854149887,None,153.24394980977814,None,[0.054285714285714284],[-0.3028571428571429],[1],[0],[0],[7.736204041997553],0.004204139782814309,None,160.99294539199036,None,,,18,1,2023_Oct_18_1813,musicemotionlatency,2021.2.3,None,
10,0,10,0,,,../fMRI_stim/music/Q4/MT0004759106.wav,Q4,163.58043682799325,None,163.5612767309649,175.5860423379927,[0.06761904761904762],[-0.3028571428571429],[1],[0],[0],[12.726215871007298],0.005699447967344895,None,176.29877544198825,None,,,18,1,2023_Oct_18_1813,musicemotionlatency,2021.2.3,None,
