trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,starttext.started,starttext.stopped,music.id,Quadrants.id,russellsQuad.started,russellsQuad.stopped,music.started,music.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,fixCross.started,fixCross.stopped,goodbyetext.started,goodbyetext.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,37.56441091699526,None,../fMRI_stim/music/Q3/MT0026905937.wav,Q4,40.206868866982404,None,40.156484722997995,None,[0.29428571428571426],[-0.2857142857142857],[1],[0],[0],[9.57546032598475],0.016286030993796885,None,49.73524482600624,None,,,19_03,001,2023_Dec_06_1707,musicemotionlatency,2021.2.3,None,
1,0,1,0,,,../fMRI_stim/music/Q4/MT0012941049.wav,Q1,52.291117182991,None,52.27904892801307,None,[0.26],[0.009523809523809525],[1],[0],[0],[8.15334791195346],0.01075515104457736,None,60.43939965998288,None,,,19_03,001,2023_Dec_06_1707,musicemotionlatency,2021.2.3,None,
2,0,2,0,,,../fMRI_stim/music/Q3/MT0010739708.wav,Q4,63.008230881998315,None,62.991596643999216,None,[0.25523809523809526],[-0.18857142857142858],[1],[0],[0],[6.314094574016053],0.01221499202074483,None,69.31258483498823,None,,,19_03,001,2023_Dec_06_1707,musicemotionlatency,2021.2.3,None,
3,0,3,0,,,../fMRI_stim/music/Q4/MT0012862507.wav,Q3,71.86808749701595,None,71.846110588999,None,[-0.19714285714285715],[-0.24857142857142858],[1],[0],[0],[9.912969542958308],0.0024691379512660205,None,81.77582090400392,None,,,19_03,001,2023_Dec_06_1707,musicemotionlatency,2021.2.3,None,
4,0,4,0,,,../fMRI_stim/music/Q1/MT0011957429.wav,Q1,84.34553722501732,None,84.3248906929628,None,[0.18761904761904763],[0.17238095238095238],[1],[0],[0],[4.654244878969621],0.004275399958714843,None,88.99472650699317,None,,,19_03,001,2023_Dec_06_1707,musicemotionlatency,2021.2.3,None,
5,0,5,0,,,../fMRI_stim/music/Q2/MT0011145388.wav,Q1,91.58067031600513,None,91.56447344030796,None,[0.1980952380952381],[0.2038095238095238],[1],[0],[0],[5.75930919701932],0.01174830028321594,None,97.35451335000107,None,,,19_03,001,2023_Dec_06_1707,musicemotionlatency,2021.2.3,None,
6,0,6,0,,,../fMRI_stim/music/Q2/MT0002960683.wav,Q2,100.0920758949942,None,100.06778021767192,None,[-0.24476190476190476],[0.3180952380952381],[1],[0],[0],[5.45455830800347],0.00590045569697395,None,105.53769763797754,None,,,19_03,001,2023_Dec_06_1707,musicemotionlatency,2021.2.3,None,
7,0,7,0,,,../fMRI_stim/music/Q4/MT0001624303.wav,Q4,108.1141107089934,None,108.0910240156382,None,[0.21523809523809523],[-0.11428571428571428],[1],[0],[0],[6.1751996200182475],0.0034879115992225707,None,114.2823464369867,None,,,19_03,001,2023_Dec_06_1707,musicemotionlatency,2021.2.3,None,
8,0,8,0,,,../fMRI_stim/music/Q1/MT0012041920.wav,Q1,116.84456247498747,None,116.82536180400056,None,[0.2571428571428571],[0.04666666666666667],[1],[0],[0],[5.850897855008952],0.0043670390150509775,None,122.6897362669697,None,,,19_03,001,2023_Dec_06_1707,musicemotionlatency,2021.2.3,None,
9,0,9,0,,,../fMRI_stim/music/Q2/MT0008530072.wav,Q2,125.28044341498753,None,125.26245785232943,None,[-0.2542857142857143],[0.32],[1],[0],[0],[2.8063171499525197],0.0055578703177161515,None,128.0830475980183,None,,,19_03,001,2023_Dec_06_1707,musicemotionlatency,2021.2.3,None,
10,0,10,0,,,../fMRI_stim/music/Q2/MT0028750297.wav,Q2,130.66686496097827,None,130.65585030931592,None,[-0.2638095238095238],[0.2876190476190476],[1],[0],[0],[5.491082680993713],0.012071102275513113,None,136.15541697997833,None,,,19_03,001,2023_Dec_06_1707,musicemotionlatency,2021.2.3,None,
11,0,11,0,,,../fMRI_stim/music/Q1/MT0029065626.wav,Q3,138.71689078997588,None,138.69308634598275,None,[-0.06095238095238095],[-0.1419047619047619],[1],[0],[0],[5.84166161401663],0.0009345609578303993,None,144.55508598499,None,,,19_03,001,2023_Dec_06_1707,musicemotionlatency,2021.2.3,None,
12,0,12,0,,,../fMRI_stim/music/Q1/MT0002262181.wav,Q4,147.1333820229629,None,147.11225888064754,None,[0.20761904761904762],[-0.12761904761904763],[1],[0],[0],[5.269104700011667],0.003194013668689877,None,152.4187705600052,None,,,19_03,001,2023_Dec_06_1707,musicemotionlatency,2021.2.3,None,
