	Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)	AAL3
0	1	57.5	-4.5	1.5	6.5952881204450975	29568	Temporal_Sup_R
1	1a	49.5	-14.5	3.5	6.47492472362286		Heschl_R
2	1b	65.5	-18.5	9.5	6.377045592101261		Temporal_Sup_R
3	1c	67.5	-26.5	9.5	6.362335824594444		Temporal_Sup_R
4	2	-56.5	-10.5	3.5	6.552735104559694	31616	Temporal_Sup_L
5	2a	-48.5	-18.5	1.5	6.413522025209889		Temporal_Sup_L
6	2b	-44.5	-22.5	7.5	6.386065403894844		Temporal_Sup_L
7	2c	-66.5	-34.5	11.5	5.872513294486758		Temporal_Sup_L
8	3	-14.5	-24.5	-6.5	5.293307048143049	808	Thal_MGN_L
9	4	15.5	-24.5	-4.5	5.290820877659654	672	Thal_MGN_R
10	5	11.5	-66.5	-52.5	5.106089253162433	1856	Cerebellum_8_R
11	5a	29.5	-58.5	-46.5	4.9125754069140175		Cerebellum_8_R
12	5b	13.5	-76.5	-46.5	4.878628373596849		Cerebellum_7b_R
13	5c	19.5	-62.5	-44.5	3.830778345291223		Cerebellum_8_R
14	6	23.5	3.5	5.5	4.733892181491928	520	Putamen_R
15	7	51.5	29.5	1.5	4.513182260391826	344	Frontal_Inf_Tri_R
16	8	-30.5	-60.5	-24.5	4.444242942432883	792	Cerebellum_6_L
17	9	-12.5	-80.5	-44.5	4.397676088325461	784	Cerebellum_Crus2_L
18	10	45.5	11.5	27.5	4.367179391903555	352	Frontal_Inf_Oper_R
19	11	29.5	-58.5	-24.5	4.316288117800891	424	Cerebellum_6_R
20	12	1.5	1.5	75.5	4.205691853342425	568	Undefined
21	13	-28.5	-60.5	-56.5	4.202205376301576	520	Cerebellum_8_L
22	13a	-14.5	-68.5	-52.5	4.193615414158856		Cerebellum_8_L
23	14	13.5	-24.5	81.5	4.138182878137368	264	Undefined
24	15	-56.5	-2.5	47.5	4.07715911598345	432	Undefined
