Subjects;Training score;p_values;Acc_Q1;Acc_Q2;Acc_Q3;Acc_Q4;Overall Acc;F1_score
sub-01;0.906;0.003;0.571;0.714;0.625;0.714;0.655;0.656
sub-02;0.876;0.001;1;0.286;0.714;0.5;0.621;0.596
sub-03;0.86;0.007;0.571;0;0.714;0.286;0.393;0.362
sub-04;0.922;0.071;0.571;0.857;0.429;0.286;0.536;0.534
sub-07;0.624;0.005;0.714;0.286;0.857;0.25;0.517;0.493
sub-08;0.859;0.003;0.857;0.429;0.375;0.714;0.586;0.572
sub-09;0.736;0.006;1;0.571;0.875;0.857;0.828;0.82
sub-10;0.782;0.121;0.857;0.286;0.5;0.286;0.483;0.466
sub-11;0.544;0.067;0.714;0.857;0.571;0.714;0.714;0.719
sub-12;0.828;0.448;0.429;0.714;0.286;0.571;0.5;0.49
sub-13;0.594;0.084;0.429;0.143;0.25;0.571;0.345;0.34
sub-14;0.953;0.022;0.714;0.625;0.571;0.571;0.621;0.624
sub-15;0.656;0.014;0.714;1;0.429;0.875;0.759;0.747
sub-16;0.841;0.254;0.429;0.857;0.5;0.286;0.517;0.502
sub-17;0.686;0.048;0.571;0.286;0.429;0.5;0.448;0.451
Mean;0.778;-;0.676;0.527;0.542;0.532;0.568;0.558
